Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
993,299.25800,2.00633,16.60001,12.40001,12.60001,12.30000,12.00000,12.20000,11.50000,12.40001,12.29285,12.38074,50.03815,63.90271,176.51610,1.97529,-0.28764
1995,299.63350,2.00775,16.60001,12.40001,12.60001,12.30000,12.00000,12.10001,11.50000,12.30000,12.30018,12.38074,50.04425,63.86914,175.90640,1.97433,0.29976
2996,299.60370,2.00649,16.60001,12.40001,12.60001,12.30000,12.00000,12.10001,11.50000,12.40001,12.30018,12.37708,50.04120,63.85693,175.91750,1.97561,0.52899
3994,299.54610,2.00083,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.30000,12.30384,12.38074,50.04120,63.86303,176.80310,1.93841,0.47946
4995,299.28780,1.99618,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29285,12.38807,50.05341,63.86303,176.90330,1.98006,0.28456
5995,299.43090,1.99360,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.30000,12.30018,12.37708,50.04425,63.86609,176.31470,1.96639,0.17297
6997,299.54060,1.99221,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29652,12.32948,50.04425,63.86609,176.48380,1.94731,-0.85574
7994,300.21980,1.98931,16.60001,12.40001,12.60001,12.30000,12.00000,12.20000,11.50000,12.30000,12.30384,12.33314,50.05341,63.86609,176.80640,1.97656,-2.36546
8992,301.10830,1.99031,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.30000,12.29652,12.32948,50.04730,63.86303,176.53830,1.94700,-3.64613
9993,300.87900,1.99328,16.60001,12.40001,12.60001,12.30000,12.10001,12.10001,11.50000,12.40001,12.30018,12.32215,50.04425,63.86609,177.47850,1.99849,-3.81136
10992,301.10280,1.99641,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29652,12.32215,49.97101,63.86609,178.15050,1.99531,-2.77406
11990,301.44270,1.99577,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29652,12.33680,49.97406,63.75927,178.05480,1.95113,-2.50851
12991,301.55530,1.99872,16.60001,12.40001,12.60001,12.30000,12.10001,12.10001,11.50000,12.40001,12.29652,12.33314,49.97406,63.75621,177.56640,1.96352,-2.78926
13991,301.37990,1.99962,16.60001,12.40001,12.60001,12.30000,12.10001,12.10001,11.50000,12.40001,12.29285,12.33314,49.97711,63.75927,176.95000,1.94731,-2.71773
14990,301.29500,1.99995,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29285,12.33314,49.97406,63.75927,177.01450,1.90408,-3.17674
15992,301.19150,2.00146,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29285,12.36976,49.97711,63.87524,176.51050,1.91075,-3.85445
16996,300.66810,2.00078,16.60001,12.40001,12.60001,12.30000,12.00000,12.20000,11.50000,12.30000,12.29285,12.38074,49.97406,63.87524,176.56280,1.97147,-2.82823
17995,300.26250,2.00181,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29285,12.37342,49.97101,63.86914,176.64960,1.94954,-0.04590
18992,299.87300,2.00142,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.30018,12.38074,49.97406,63.86914,176.85870,1.96607,0.33731
19993,299.54430,2.00316,16.60001,12.40001,12.60001,12.30000,12.10001,12.10001,11.50000,12.40001,12.33680,12.38074,49.97406,63.86303,176.83090,1.96702,-0.25600
20992,299.83030,2.00335,16.60001,12.40001,12.60001,12.30000,12.10001,12.10001,11.50000,12.40001,12.34046,12.38074,49.97406,63.83862,176.17560,1.92919,0.96780
21995,299.82100,2.00365,16.60001,12.40001,12.60001,12.30000,12.10001,12.10001,11.50000,12.40001,12.34046,12.36976,49.97711,63.82640,176.68070,2.01184,1.09297
22996,299.36030,1.99925,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.34046,12.38074,49.97101,63.82946,176.80870,1.92951,-0.44839
23996,299.35470,1.99373,16.60001,12.40001,12.60001,12.30000,12.10001,12.10001,11.50000,12.40001,12.29285,12.37342,49.97406,63.82030,176.82090,1.98673,-0.47934
24993,299.44950,1.99278,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29652,12.37708,49.97711,63.82946,176.82320,1.89391,0.07266
25991,299.45690,1.99639,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.30000,12.30018,12.32948,49.97406,63.90881,176.23900,1.92506,-1.09804
26993,299.54430,1.99596,16.60001,12.40001,12.60001,12.30000,12.00000,12.20000,11.50000,12.40001,12.29652,12.32948,49.97406,63.90576,175.87520,1.97878,-1.17564
27994,299.56100,1.99267,16.60001,12.40001,12.60001,12.30000,12.10001,12.10001,11.50000,12.40001,12.29652,12.32948,49.97406,63.89965,176.08660,1.98641,0.15509
28992,299.28030,1.99377,16.60001,12.40001,12.60001,12.30000,12.00000,12.10001,11.50000,12.40001,12.30018,12.33314,49.97101,63.90576,176.07210,1.97560,-0.17250
29991,299.43840,1.99445,16.60001,12.40001,12.60001,12.30000,12.10001,12.20000,11.50000,12.40001,12.29652,12.32948,49.97406,63.90576,176.32360,2.00040,0.60643
30995,299.42350,1.99491,16.60001,12.40001,12.60001,12.30000,12.00000,12.10001,11.50000,12.30000,12.28919,12.31849,49.97406,63.79284,176.49490,1.95303,1.14769
31991,299.38260,1.99646,16.60001,12.40001,12.60001,12.40001,12.10001,12.20000,11.50000,12.40001,12.29652,12.32948,49.97406,63.78673,176.26020,1.95844,1.17130
