Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
1000,300.9068,0.00253,17.8,12.2,12.40001,12.10001,12,12.2,10.8,12.3,12.10608,12.27454,52.37281,52.58035,177.0379,1.65333,7.60162
2004,300.4959,0.0026,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10242,12.27088,52.38502,52.5834,177.1647,1.63776,7.1807
3002,300.3847,0.00263,17.8,12.2,12.40001,12.10001,12,12.2,10.8,12.3,12.09876,12.27821,52.37892,52.58035,177.6899,1.62536,5.96387
4001,300.444,0.00258,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.11341,12.28187,52.38197,52.5834,177.9091,1.63617,5.6066
5002,300.4866,0.0027,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10975,12.28187,52.38197,52.58035,178.3497,1.66033,7.01869
6000,300.7051,0.00255,17.8,12.2,12.40001,12.10001,12,12.2,10.8,12.40001,12.10608,12.28187,52.38197,52.51015,178.2818,1.67559,7.73573
7004,300.3959,0.00259,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.08777,12.27088,52.37892,52.51015,177.6943,1.67622,6.3712
8002,300.2865,0.00251,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10975,12.27454,52.38197,52.50404,177.8412,1.59993,5.99767
9008,300.5033,0.00261,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.08777,12.25257,52.38197,52.5071,178.3842,1.62186,6.8651
9998,300.544,0.00257,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10242,12.27821,52.36976,52.50404,177.7989,1.65302,6.6523
10999,300.1382,0.00253,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10608,12.27454,52.37281,52.46132,177.2615,1.64475,5.58978
12001,300.3088,0.00257,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.09876,12.27454,52.36976,52.46742,177.8245,1.59103,5.94957
13003,300.6422,0.00246,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10608,12.27821,52.37892,52.45827,178.6089,1.65047,7.06429
13996,300.2606,0.0025,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10608,12.27821,52.37281,52.47658,178.9983,1.65619,6.61797
14999,300.0993,0.00252,17.8,12.2,12.40001,12.10001,12,12.2,10.8,12.3,12.10608,12.27454,52.37892,52.47658,178.7547,1.66414,6.09367
15999,300.6663,0.00262,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.11341,12.27821,52.37892,52.47658,178.669,1.66128,7.13992
16999,300.6977,0.00252,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10975,12.27454,52.37892,52.47353,177.8067,1.62091,6.61815
18004,300.3069,0.00266,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10975,12.27454,52.37892,52.47353,176.8866,1.6705,5.90343
18998,300.5052,0.00254,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10975,12.27454,52.36976,52.47963,177.5964,1.6136,6.19954
19999,299.9843,0.00258,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10242,12.27821,52.38197,52.47963,178.0604,1.65524,6.72185
20999,299.0534,0.00244,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10608,12.27454,52.37281,52.47658,177.9002,1.62981,9.17484
22001,298.3006,0.00248,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.2,12.11341,12.27821,52.38197,52.47658,176.8343,1.65556,10.18297
22997,298.3715,0.00271,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10608,12.27821,52.33619,52.47353,176.95,1.64252,10.33748
23999,298.5114,0.00257,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10975,12.27821,52.33314,52.47963,177.9758,1.61614,10.01848
24999,298.1289,0.00256,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10975,12.27088,52.33924,52.47353,177.6064,1.65683,10.02991
26001,298.3528,0.00248,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10242,12.28187,52.33619,52.47658,176.9622,1.64506,10.00989
27000,298.3547,0.00255,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10242,12.27821,52.33619,52.47353,176.5973,1.66096,8.80325
28000,299.1204,0.00263,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10608,12.27088,52.3423,52.47658,176.2023,1.63553,8.28255
29001,300.2921,0.00239,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10608,12.27821,52.33924,52.47658,176.4204,1.68448,7.33662
29999,300.6089,0.00243,17.8,12.2,12.40001,12.10001,12,12.2,10.8,12.40001,12.10242,12.27088,52.33619,52.47658,176.8209,1.59833,6.55878
31000,300.5385,0.00253,17.8,12.2,12.40001,12.10001,12,12.2,10.8,12.3,12.10975,12.27454,52.3423,52.48573,177.1013,1.6492,5.62018
31997,300.6237,0.00248,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.3,12.10242,12.27821,52.33619,52.47047,177.5441,1.67081,5.468
32998,300.7977,0.00257,17.8,12.2,12.40001,12.10001,12,12.2,10.8,12.40001,12.11707,12.27821,52.33924,52.47658,177.1703,1.66318,6.16217
33998,300.6774,0.00251,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10242,12.31483,52.3423,52.5132,177.6654,1.67113,6.4801
35001,301.027,0.00278,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.10608,12.31849,52.33619,52.5193,178.165,1.68607,7.26294
36001,301.0085,0.00262,17.8,12.2,12.40001,12.2,12,12.10001,10.8,12.40001,12.10608,12.31483,52.3423,52.51015,178.047,1.6155,7.411
37002,300.62,0.00266,17.8,12.2,12.40001,12.10001,12,12.2,10.8,12.40001,12.10242,12.31849,52.33619,52.5132,178.2885,1.70069,6.93321
37999,300.5737,0.0025,17.8,12.2,12.40001,12.10001,12,12.10001,10.8,12.40001,12.11341,12.31483,52.34535,52.51015,178.5488,1.64125,7.44873
