Date,Time,Ch1: [ppm],Concentration Status,Temp [°C],Temp. Status
20240206,00:00:04,38.0,G,66.4,G
20240206,00:00:09,38.0,G,66.4,G
20240206,00:00:14,38.0,G,66.4,G
20240206,00:00:19,38.0,G,66.4,G
20240206,00:00:24,38.1,G,66.4,G
20240206,00:00:29,38.1,G,66.4,G
20240206,00:00:34,38.1,G,66.4,G
20240206,00:00:39,38.2,G,66.4,G
20240206,00:00:44,38.3,G,66.4,G
20240206,00:00:49,38.3,G,66.4,G
20240206,00:00:54,38.4,G,66.4,G
20240206,00:00:59,38.5,G,66.4,G
20240206,00:01:04,38.6,G,66.4,G
20240206,00:01:09,38.6,G,66.4,G
20240206,00:01:14,38.5,G,66.4,G
20240206,00:01:19,38.3,G,66.4,G
20240206,00:01:24,38.2,G,66.4,G
20240206,00:01:29,38.2,G,66.4,G
20240206,00:01:34,38.2,G,66.4,G
20240206,00:01:39,38.3,G,66.4,G
20240206,00:01:44,38.4,G,66.4,G
20240206,00:01:49,38.5,G,66.4,G
20240206,00:01:54,38.4,G,66.4,G
20240206,00:01:59,38.4,G,66.4,G
20240206,00:02:04,38.2,G,66.4,G
20240206,00:02:09,38.0,G,66.4,G
20240206,00:02:14,37.9,G,66.4,G
20240206,00:02:19,37.8,G,66.4,G
20240206,00:02:24,37.7,G,66.4,G
20240206,00:02:29,37.7,G,66.4,G
20240206,00:02:34,37.7,G,66.4,G
20240206,00:02:39,37.7,G,66.4,G
20240206,00:02:44,37.7,G,66.4,G
20240206,00:02:49,37.6,G,66.4,G
20240206,00:02:54,37.6,G,66.4,G
20240206,00:02:59,37.6,G,66.4,G
20240206,00:03:04,37.5,G,66.4,G
20240206,00:03:09,37.4,G,66.4,G
20240206,00:03:14,37.4,G,66.4,G
20240206,00:03:19,37.3,G,66.4,G
20240206,00:03:24,37.4,G,66.4,G
20240206,00:03:29,37.5,G,66.4,G
20240206,00:03:34,37.6,G,66.4,G
20240206,00:03:39,37.7,G,66.4,G
20240206,00:03:44,37.8,G,66.4,G
20240206,00:03:49,38.0,G,66.4,G
20240206,00:03:54,38.1,G,66.4,G
20240206,00:03:59,38.1,G,66.4,G
20240206,00:04:04,38.1,G,66.4,G
20240206,00:04:09,38.0,G,66.4,G
20240206,00:04:14,37.9,G,66.4,G
20240206,00:04:19,37.9,G,66.4,G
20240206,00:04:24,37.9,G,66.4,G
20240206,00:04:29,38.0,G,66.4,G
20240206,00:04:34,38.1,G,66.4,G
20240206,00:04:39,38.1,G,66.4,G
20240206,00:04:44,38.1,G,66.4,G
20240206,00:04:49,38.2,G,66.4,G
20240206,00:04:54,38.2,G,66.4,G
20240206,00:04:59,38.3,G,66.4,G
20240206,00:05:04,38.3,G,66.4,G
20240206,00:05:09,38.3,G,66.4,G
20240206,00:05:14,38.2,G,66.4,G
20240206,00:05:19,38.3,G,66.4,G
20240206,00:05:24,38.4,G,66.4,G
20240206,00:05:29,38.6,G,66.4,G
20240206,00:05:34,38.7,G,66.4,G
20240206,00:05:39,38.7,G,66.4,G
20240206,00:05:44,38.6,G,66.4,G
20240206,00:05:49,38.5,G,66.4,G
20240206,00:05:54,38.4,G,66.4,G
20240206,00:05:59,38.3,G,66.4,G
20240206,00:06:04,38.4,G,66.4,G
20240206,00:06:09,38.4,G,66.4,G
20240206,00:06:14,38.4,G,66.4,G
20240206,00:06:19,38.4,G,66.4,G
20240206,00:06:24,38.5,G,66.4,G
20240206,00:06:29,38.4,G,66.4,G
20240206,00:06:34,38.3,G,66.4,G
20240206,00:06:39,38.2,G,66.4,G
20240206,00:06:44,38.2,G,66.4,G
20240206,00:06:49,38.2,G,66.4,G
20240206,00:06:54,38.1,G,66.4,G
20240206,00:06:59,37.9,G,66.4,G
20240206,00:07:04,37.7,G,66.4,G
20240206,00:07:09,37.7,G,66.4,G
20240206,00:07:14,37.7,G,66.4,G
20240206,00:07:19,37.9,G,66.4,G
20240206,00:07:24,38.0,G,66.4,G
20240206,00:07:29,38.1,G,66.4,G
20240206,00:07:34,38.0,G,66.4,G
20240206,00:07:39,37.9,G,66.4,G
20240206,00:07:44,37.8,G,66.4,G
20240206,00:07:49,37.6,G,66.4,G
20240206,00:07:54,37.6,G,66.4,G
20240206,00:07:59,37.6,G,66.4,G
20240206,00:08:04,37.6,G,66.4,G
20240206,00:08:09,37.6,G,66.4,G
20240206,00:08:14,37.6,G,66.4,G
20240206,00:08:19,37.6,G,66.4,G
20240206,00:08:24,37.6,G,66.4,G
20240206,00:08:29,37.8,G,66.4,G
20240206,00:08:34,37.8,G,66.4,G
20240206,00:08:39,38.0,G,66.4,G
20240206,00:08:44,38.0,G,66.4,G
20240206,00:08:49,38.1,G,66.4,G
20240206,00:08:54,38.1,G,66.4,G
20240206,00:08:59,38.2,G,66.4,G
20240206,00:09:04,38.3,G,66.4,G
20240206,00:09:09,38.2,G,66.4,G
20240206,00:09:14,38.1,G,66.4,G
20240206,00:09:19,38.0,G,66.4,G
20240206,00:09:24,37.9,G,66.4,G
20240206,00:09:29,37.8,G,66.4,G
20240206,00:09:34,37.7,G,66.4,G
20240206,00:09:39,37.8,G,66.4,G
20240206,00:09:44,37.9,G,66.4,G
20240206,00:09:49,38.1,G,66.4,G
20240206,00:09:54,38.2,G,66.4,G
20240206,00:09:59,38.4,G,66.4,G
20240206,00:10:04,38.4,G,66.4,G
20240206,00:10:09,38.4,G,66.4,G
20240206,00:10:14,38.3,G,66.4,G
20240206,00:10:19,38.2,G,66.4,G
20240206,00:10:24,38.1,G,66.4,G
20240206,00:10:29,38.1,G,66.4,G
20240206,00:10:34,38.2,G,66.4,G
20240206,00:10:39,38.2,G,66.4,G
20240206,00:10:44,38.2,G,66.4,G
20240206,00:10:49,38.3,G,66.4,G
20240206,00:10:54,38.1,G,66.4,G
20240206,00:10:59,38.0,G,66.4,G
20240206,00:11:04,37.7,G,66.4,G
20240206,00:11:09,37.6,G,66.4,G
20240206,00:11:14,37.5,G,66.4,G
20240206,00:11:19,37.5,G,66.4,G
20240206,00:11:24,37.6,G,66.4,G
20240206,00:11:29,37.7,G,66.4,G
20240206,00:11:34,37.7,G,66.4,G
20240206,00:11:39,37.7,G,66.4,G
20240206,00:11:44,37.6,G,66.4,G
20240206,00:11:49,37.5,G,66.4,G
20240206,00:11:54,37.6,G,66.4,G
20240206,00:11:59,37.6,G,66.4,G
20240206,00:12:04,37.7,G,66.4,G
20240206,00:12:09,37.8,G,66.4,G
20240206,00:12:14,37.9,G,66.4,G
20240206,00:12:19,38.0,G,66.4,G
20240206,00:12:24,38.1,G,66.4,G
20240206,00:12:29,38.3,G,66.4,G
20240206,00:12:34,38.4,G,66.4,G
20240206,00:12:39,38.4,G,66.4,G
20240206,00:12:44,38.5,G,66.4,G
20240206,00:12:49,38.5,G,66.4,G
20240206,00:12:54,38.5,G,66.4,G
20240206,00:12:59,38.4,G,66.4,G
20240206,00:13:04,38.3,G,66.4,G
20240206,00:13:09,38.1,G,66.4,G
20240206,00:13:14,38.1,G,66.4,G
20240206,00:13:19,38.0,G,66.4,G
20240206,00:13:24,38.0,G,66.4,G
20240206,00:13:29,38.0,G,66.4,G
20240206,00:13:34,38.0,G,66.4,G
20240206,00:13:39,38.2,G,66.4,G
20240206,00:13:44,38.3,G,66.4,G
20240206,00:13:49,38.4,G,66.4,G
20240206,00:13:54,38.5,G,66.4,G
20240206,00:13:59,38.4,G,66.4,G
20240206,00:14:04,38.4,G,66.4,G
20240206,00:14:09,38.4,G,66.4,G
20240206,00:14:14,38.4,G,66.4,G
20240206,00:14:19,38.4,G,66.4,G
20240206,00:14:24,38.4,G,66.4,G
20240206,00:14:29,38.3,G,66.4,G
20240206,00:14:34,38.2,G,66.4,G
20240206,00:14:39,38.2,G,66.4,G
20240206,00:14:44,38.1,G,66.4,G
20240206,00:14:49,38.1,G,66.4,G
20240206,00:14:54,38.0,G,66.4,G
20240206,00:14:59,38.0,G,66.4,G
20240206,00:15:04,37.9,G,66.4,G
20240206,00:15:09,37.9,G,66.4,G
20240206,00:15:14,38.0,G,66.4,G
20240206,00:15:19,38.1,G,66.4,G
20240206,00:15:24,38.2,G,66.4,G
20240206,00:15:29,38.4,G,66.4,G
20240206,00:15:34,38.4,G,66.4,G
20240206,00:15:39,38.4,G,66.4,G
20240206,00:15:44,38.3,G,66.4,G
20240206,00:15:49,38.3,G,66.4,G
20240206,00:15:54,38.2,G,66.4,G
20240206,00:15:59,38.2,G,66.4,G
20240206,00:16:04,38.3,G,66.4,G
20240206,00:16:09,38.3,G,66.4,G
20240206,00:16:14,38.3,G,66.4,G
20240206,00:16:19,38.3,G,66.4,G
20240206,00:16:24,38.3,G,66.4,G
20240206,00:16:29,38.2,G,66.4,G
20240206,00:16:34,38.3,G,66.4,G
20240206,00:16:39,38.4,G,66.4,G
20240206,00:16:44,38.5,G,66.4,G
20240206,00:16:49,38.6,G,66.4,G
20240206,00:16:54,38.6,G,66.4,G
20240206,00:16:59,38.5,G,66.4,G
20240206,00:17:04,38.5,G,66.4,G
20240206,00:17:09,38.5,G,66.4,G
20240206,00:17:14,38.6,G,66.4,G
