Time,MQ2.SV Vorne,MQ3.SV Vorne,MQ9B.SV Vorne,MQ135.SV Vorne,MP503.SV Vorne,HCOH.SV Vorne
17:16:42,131,72,37,227,44,58
17:16:46,128,71,37,152,44,61
17:16:50,124,70,37,82,44,58
17:16:54,117,68,37,130,44,53
17:16:57,118,69,38,105,43,50
17:17:01,124,67,37,73,44,48
17:17:05,123,74,38,86,44,53
17:17:08,127,72,37,80,44,80
17:17:12,129,75,37,75,43,75
17:17:16,127,75,38,72,44,103
17:17:19,131,73,37,76,43,94
17:17:23,128,72,37,74,44,77
17:17:27,127,70,38,75,43,65
17:17:30,133,68,38,74,43,60
17:17:34,133,69,37,106,44,55
17:17:38,125,67,37,122,44,55
17:17:42,137,68,39,299,44,66
17:17:45,133,69,37,264,43,78
17:17:49,124,69,37,159,45,65
17:17:52,118,68,36,67,44,59
17:17:56,116,67,37,63,44,54
17:18:00,123,67,38,74,44,50
17:18:04,126,76,37,66,44,52
17:18:07,133,75,36,81,44,50
17:18:11,126,73,38,86,44,51
17:18:14,130,71,38,126,44,61
17:18:18,124,71,37,111,44,64
17:18:22,125,80,39,127,43,64
17:18:26,124,80,38,145,44,63
17:18:29,138,78,37,279,44,61
17:18:33,129,76,38,288,44,55
17:18:37,121,73,37,258,45,53
17:18:40,120,72,37,65,43,49
17:18:44,118,72,37,162,44,47
17:18:48,123,71,37,74,43,46
17:18:51,124,73,38,92,46,52
17:18:55,128,73,38,79,43,61
17:18:59,129,72,37,143,44,63
17:19:02,124,70,37,67,43,58
17:19:06,133,70,37,101,44,54
17:19:10,132,69,38,83,44,50
17:19:13,126,68,37,75,44,50
17:19:17,126,68,37,67,45,48
17:19:21,120,70,37,115,44,48
17:19:24,115,69,37,111,43,48
17:19:28,120,69,37,107,43,45
17:19:32,131,68,37,82,45,44
17:19:35,127,67,37,207,44,51
17:19:39,128,67,37,75,44,50
17:19:43,131,68,37,66,44,50
17:19:46,130,67,37,78,43,53
17:19:50,130,68,37,75,44,70
17:19:54,131,68,37,70,45,59
17:19:57,130,68,38,66,43,56
17:20:01,126,69,38,225,44,62
17:20:05,121,67,37,213,44,58
17:20:09,119,68,36,220,44,56
17:20:12,122,68,36,69,44,52
17:20:16,126,68,36,230,44,56
17:20:20,127,70,36,232,43,75
17:20:23,130,68,38,241,44,64
17:20:27,125,70,38,79,44,79
17:20:31,126,69,37,279,43,66
17:20:34,129,68,37,281,43,59
17:20:38,126,67,37,286,43,53
17:20:42,121,68,36,295,44,55
17:20:45,116,67,36,275,44,52
17:20:49,113,67,38,275,44,48
17:20:53,115,69,36,280,44,47
17:20:56,119,67,38,287,42,46
17:21:00,121,67,38,259,44,46
17:21:04,125,66,36,289,44,46
17:21:07,129,67,38,258,44,45
17:21:11,136,65,37,108,44,49
17:21:15,136,66,37,77,44,62
17:21:18,128,65,38,72,42,59
17:21:22,125,70,37,224,45,61
17:21:26,134,68,39,254,44,64
17:21:30,129,73,37,279,44,63
17:21:33,137,73,37,261,43,66
17:21:37,131,71,37,277,44,61
17:21:41,119,70,37,135,44,56
17:21:44,116,69,37,88,43,51
17:21:48,116,68,37,108,44,60
