Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
1002,299.51830,5.99927,10.20000,12.80000,13.10001,12.80000,10.10001,9.60001,10.40001,9.80000,12.59315,10.23835,52.59255,94.09772,176.61510,4.26258,1.60712
2014,299.73190,5.99952,10.10001,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.59315,10.24934,52.58645,94.10383,176.74410,4.21998,1.40433
3011,299.48300,5.99779,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59315,10.24567,52.58950,94.09467,176.65960,4.32425,1.53757
4006,299.32130,5.99793,10.10001,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.24934,52.59866,94.09467,176.88770,4.24097,1.48837
5012,299.27110,6.00055,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59315,10.24567,52.62612,94.10383,177.29820,4.20059,1.71994
6006,299.41980,6.00232,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.58583,10.24567,52.62612,94.09467,177.02790,4.30454,2.75778
7012,299.19850,6.00509,10.10001,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59315,10.23835,52.62612,94.09162,176.74750,4.25432,2.26515
8002,298.93240,6.00765,10.10001,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.59682,10.25300,52.62612,94.09467,176.61730,4.29215,1.27918
9007,299.82660,6.00599,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.58583,10.24567,52.63223,94.09772,176.45820,4.27339,0.09184
10008,300.36070,6.00368,10.20000,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.58583,10.25300,52.63223,94.10688,176.84210,4.26322,-1.46259
11003,300.76620,6.00622,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.70000,12.58583,10.24934,52.63223,94.10383,177.58530,4.21903,-0.96370
12010,300.87350,6.00704,10.10001,12.80000,13.00000,12.80000,10.10001,9.70000,10.40001,9.80000,12.59315,10.23469,52.62917,94.09772,177.51960,4.24065,-1.39464
13005,301.19890,6.00667,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59315,10.23835,52.62917,94.10383,177.62980,4.21585,-1.71382
14008,301.35040,6.00651,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.70000,12.59315,10.23835,52.66274,94.10383,178.01480,4.25463,-2.09576
15008,300.91240,6.00619,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.24567,52.65969,94.09772,177.48180,4.19169,-3.00522
16004,300.94380,6.00879,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.60049,10.24934,52.66579,94.10688,177.25040,4.22634,-2.26421
17006,300.93270,6.01352,10.20000,12.80000,13.00000,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.24934,52.66274,94.10383,177.11240,4.24256,-1.54448
18004,300.92160,6.01163,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59315,10.23835,52.66274,94.09162,177.08570,4.29628,-1.79697
