Date,Time,Ch1: [ppm],Concentration Status,Temp [°C],Temp. Status
20240306,00:00:03,43.2,G,66.2,G
20240306,00:00:08,43.2,G,66.2,G
20240306,00:00:13,43.2,G,66.2,G
20240306,00:00:18,43.2,G,66.2,G
20240306,00:00:23,43.3,G,66.2,G
20240306,00:00:28,43.3,G,66.2,G
20240306,00:00:33,43.3,G,66.2,G
20240306,00:00:38,43.4,G,66.2,G
20240306,00:00:43,43.4,G,66.2,G
20240306,00:00:48,43.4,G,66.2,G
20240306,00:00:53,43.5,G,66.2,G
20240306,00:00:58,43.5,G,66.2,G
20240306,00:01:03,43.5,G,66.2,G
20240306,00:01:08,43.5,G,66.2,G
20240306,00:01:13,43.4,G,66.2,G
20240306,00:01:18,43.5,G,66.2,G
20240306,00:01:23,43.5,G,66.2,G
20240306,00:01:28,43.4,G,66.2,G
20240306,00:01:33,43.4,G,66.2,G
20240306,00:01:38,43.4,G,66.2,G
20240306,00:01:43,43.4,G,66.2,G
20240306,00:01:48,43.4,G,66.2,G
20240306,00:01:53,43.4,G,66.2,G
20240306,00:01:58,43.4,G,66.2,G
20240306,00:02:03,43.4,G,66.2,G
20240306,00:02:08,43.4,G,66.2,G
20240306,00:02:13,43.4,G,66.2,G
20240306,00:02:18,43.4,G,66.2,G
20240306,00:02:23,43.4,G,66.2,G
20240306,00:02:28,43.4,G,66.2,G
20240306,00:02:33,43.4,G,66.2,G
20240306,00:02:38,43.4,G,66.2,G
20240306,00:02:43,43.4,G,66.2,G
20240306,00:02:48,43.4,G,66.2,G
20240306,00:02:53,43.4,G,66.2,G
20240306,00:02:58,43.5,G,66.2,G
20240306,00:03:03,43.5,G,66.2,G
20240306,00:03:08,43.5,G,66.2,G
20240306,00:03:13,43.5,G,66.2,G
20240306,00:03:18,43.4,G,66.2,G
20240306,00:03:23,43.3,G,66.2,G
20240306,00:03:28,43.3,G,66.2,G
20240306,00:03:33,43.2,G,66.2,G
20240306,00:03:38,43.3,G,66.2,G
20240306,00:03:43,43.3,G,66.2,G
20240306,00:03:48,43.3,G,66.2,G
20240306,00:03:53,43.4,G,66.2,G
20240306,00:03:58,43.4,G,66.2,G
20240306,00:04:03,43.4,G,66.2,G
20240306,00:04:08,43.4,G,66.2,G
20240306,00:04:13,43.4,G,66.2,G
20240306,00:04:18,43.4,G,66.2,G
20240306,00:04:23,43.4,G,66.2,G
20240306,00:04:28,43.5,G,66.2,G
20240306,00:04:33,43.5,G,66.2,G
20240306,00:04:38,43.5,G,66.1,G
20240306,00:04:43,43.6,G,66.1,G
20240306,00:04:48,43.6,G,66.1,G
20240306,00:04:53,43.5,G,66.1,G
20240306,00:04:58,43.5,G,66.1,G
20240306,00:05:03,43.5,G,66.1,G
20240306,00:05:08,43.4,G,66.1,G
20240306,00:05:13,43.5,G,66.1,G
20240306,00:05:18,43.5,G,66.1,G
20240306,00:05:23,43.6,G,66.1,G
20240306,00:05:28,43.6,G,66.1,G
20240306,00:05:33,43.6,G,66.1,G
20240306,00:05:38,43.5,G,66.1,G
20240306,00:05:43,43.5,G,66.1,G
20240306,00:05:48,43.5,G,66.1,G
20240306,00:05:53,43.4,G,66.1,G
20240306,00:05:58,43.4,G,66.1,G
20240306,00:06:03,43.4,G,66.1,G
20240306,00:06:08,43.4,G,66.1,G
20240306,00:06:13,43.5,G,66.1,G
20240306,00:06:18,43.4,G,66.1,G
20240306,00:06:23,43.4,G,66.1,G
20240306,00:06:28,43.4,G,66.1,G
20240306,00:06:33,43.4,G,66.1,G
20240306,00:06:38,43.4,G,66.1,G
20240306,00:06:43,43.4,G,66.1,G
20240306,00:06:48,43.4,G,66.1,G
20240306,00:06:53,43.4,G,66.1,G
20240306,00:06:58,43.4,G,66.1,G
20240306,00:07:03,43.4,G,66.1,G
20240306,00:07:08,43.4,G,66.1,G
20240306,00:07:13,43.4,G,66.1,G
20240306,00:07:18,43.4,G,66.1,G
20240306,00:07:23,43.4,G,66.1,G
20240306,00:07:28,43.5,G,66.1,G
20240306,00:07:33,43.5,G,66.1,G
20240306,00:07:38,43.5,G,66.1,G
20240306,00:07:43,43.5,G,66.1,G
20240306,00:07:48,43.5,G,66.1,G
20240306,00:07:53,43.6,G,66.1,G
20240306,00:07:58,43.6,G,66.1,G
20240306,00:08:03,43.6,G,66.2,G
20240306,00:08:08,43.7,G,66.2,G
20240306,00:08:13,43.7,G,66.2,G
20240306,00:08:18,43.7,G,66.2,G
20240306,00:08:23,43.7,G,66.2,G
20240306,00:08:28,43.6,G,66.2,G
20240306,00:08:33,43.6,G,66.2,G
20240306,00:08:38,43.5,G,66.2,G
20240306,00:08:43,43.5,G,66.2,G
20240306,00:08:48,43.5,G,66.2,G
20240306,00:08:53,43.5,G,66.2,G
20240306,00:08:58,43.5,G,66.2,G
20240306,00:09:03,43.5,G,66.2,G
20240306,00:09:08,43.5,G,66.2,G
20240306,00:09:13,43.6,G,66.2,G
20240306,00:09:18,43.6,G,66.2,G
20240306,00:09:23,43.6,G,66.2,G
20240306,00:09:28,43.6,G,66.2,G
20240306,00:09:33,43.6,G,66.2,G
20240306,00:09:38,43.6,G,66.1,G
20240306,00:09:43,43.6,G,66.1,G
20240306,00:09:48,43.6,G,66.1,G
20240306,00:09:53,43.6,G,66.1,G
20240306,00:09:58,43.6,G,66.1,G
20240306,00:10:03,43.6,G,66.1,G
20240306,00:10:08,43.6,G,66.1,G
20240306,00:10:13,43.6,G,66.1,G
20240306,00:10:18,43.6,G,66.1,G
20240306,00:10:23,43.7,G,66.1,G
20240306,00:10:28,43.7,G,66.1,G
20240306,00:10:33,43.7,G,66.1,G
20240306,00:10:38,43.7,G,66.1,G
20240306,00:10:43,43.6,G,66.1,G
20240306,00:10:48,43.6,G,66.1,G
20240306,00:10:53,43.6,G,66.1,G
20240306,00:10:58,43.6,G,66.1,G
20240306,00:11:03,43.6,G,66.1,G
20240306,00:11:08,43.6,G,66.1,G
20240306,00:11:13,43.7,G,66.1,G
20240306,00:11:18,43.7,G,66.1,G
20240306,00:11:23,43.7,G,66.1,G
20240306,00:11:28,43.7,G,66.1,G
20240306,00:11:33,43.7,G,66.1,G
20240306,00:11:38,43.7,G,66.1,G
20240306,00:11:43,43.6,G,66.1,G
20240306,00:11:48,43.6,G,66.1,G
20240306,00:11:53,43.6,G,66.1,G
20240306,00:11:58,43.5,G,66.1,G
20240306,00:12:03,43.5,G,66.1,G
20240306,00:12:08,43.5,G,66.1,G
20240306,00:12:13,43.5,G,66.1,G
20240306,00:12:18,43.6,G,66.1,G
20240306,00:12:23,43.6,G,66.1,G
20240306,00:12:28,43.6,G,66.1,G
20240306,00:12:33,43.5,G,66.1,G
20240306,00:12:38,43.5,G,66.1,G
20240306,00:12:43,43.6,G,66.1,G
20240306,00:12:48,43.6,G,66.1,G
20240306,00:12:53,43.6,G,66.1,G
20240306,00:12:58,43.6,G,66.1,G
20240306,00:13:03,43.6,G,66.1,G
20240306,00:13:08,43.6,G,66.1,G
20240306,00:13:13,43.6,G,66.1,G
20240306,00:13:18,43.6,G,66.1,G
20240306,00:13:23,43.5,G,66.1,G
20240306,00:13:28,43.5,G,66.1,G
20240306,00:13:33,43.5,G,66.1,G
20240306,00:13:38,43.5,G,66.1,G
20240306,00:13:43,43.5,G,66.1,G
20240306,00:13:48,43.5,G,66.1,G
20240306,00:13:53,43.5,G,66.1,G
20240306,00:13:58,43.5,G,66.1,G
20240306,00:14:03,43.5,G,66.1,G
20240306,00:14:08,43.5,G,66.1,G
20240306,00:14:13,43.5,G,66.1,G
20240306,00:14:18,43.6,G,66.1,G
20240306,00:14:23,43.6,G,66.1,G
20240306,00:14:28,43.5,G,66.1,G
20240306,00:14:33,43.5,G,66.1,G
20240306,00:14:38,43.5,G,66.1,G
20240306,00:14:43,43.5,G,66.1,G
20240306,00:14:48,43.5,G,66.1,G
20240306,00:14:53,43.5,G,66.1,G
20240306,00:14:58,43.5,G,66.1,G
20240306,00:15:03,43.5,G,66.1,G
20240306,00:15:08,43.5,G,66.1,G
20240306,00:15:13,43.5,G,66.1,G
20240306,00:15:18,43.5,G,66.1,G
20240306,00:15:23,43.5,G,66.1,G
20240306,00:15:28,43.6,G,66.1,G
20240306,00:15:33,43.6,G,66.1,G
20240306,00:15:38,43.6,G,66.1,G
20240306,00:15:43,43.7,G,66.1,G
20240306,00:15:48,43.7,G,66.1,G
20240306,00:15:53,43.7,G,66.1,G
20240306,00:15:58,43.7,G,66.1,G
20240306,00:16:03,43.7,G,66.1,G
20240306,00:16:08,43.7,G,66.1,G
20240306,00:16:13,43.7,G,66.1,G
20240306,00:16:18,43.6,G,66.1,G
20240306,00:16:23,43.6,G,66.1,G
20240306,00:16:28,43.6,G,66.1,G
20240306,00:16:33,43.6,G,66.1,G
20240306,00:16:38,43.6,G,66.1,G
20240306,00:16:43,43.6,G,66.1,G
20240306,00:16:48,43.6,G,66.1,G
20240306,00:16:53,43.6,G,66.1,G
20240306,00:16:58,43.6,G,66.1,G
20240306,00:17:03,43.6,G,66.1,G
20240306,00:17:08,43.6,G,66.1,G
20240306,00:17:13,43.5,G,66.1,G
20240306,00:17:18,43.5,G,66.1,G
20240306,00:17:23,43.4,G,66.1,G
20240306,00:17:28,43.4,G,66.1,G
20240306,00:17:33,43.4,G,66.1,G
20240306,00:17:38,43.4,G,66.1,G
20240306,00:17:43,43.4,G,66.1,G
20240306,00:17:48,43.5,G,66.1,G
20240306,00:17:53,43.5,G,66.1,G
20240306,00:17:58,43.5,G,66.1,G
20240306,00:18:03,43.5,G,66.1,G
20240306,00:18:08,43.5,G,66.1,G
20240306,00:18:13,43.5,G,66.1,G
20240306,00:18:18,43.5,G,66.1,G
20240306,00:18:23,43.5,G,66.1,G
20240306,00:18:28,43.6,G,66.1,G
20240306,00:18:33,43.6,G,66.1,G
20240306,00:18:38,43.6,G,66.1,G
20240306,00:18:43,43.6,G,66.1,G
20240306,00:18:48,43.6,G,66.1,G
20240306,00:18:53,43.7,G,66.1,G
20240306,00:18:58,43.7,G,66.1,G
20240306,00:19:03,43.8,G,66.1,G
20240306,00:19:08,43.8,G,66.1,G
20240306,00:19:13,43.8,G,66.1,G
20240306,00:19:18,43.7,G,66.1,G
20240306,00:19:23,43.7,G,66.1,G
20240306,00:19:28,43.7,G,66.1,G
20240306,00:19:33,43.6,G,66.1,G
20240306,00:19:38,43.6,G,66.1,G
20240306,00:19:43,43.6,G,66.1,G
20240306,00:19:48,43.6,G,66.1,G
20240306,00:19:53,43.6,G,66.1,G
20240306,00:19:58,43.6,G,66.1,G
20240306,00:20:03,43.5,G,66.1,G
20240306,00:20:08,43.5,G,66.1,G
20240306,00:20:13,43.5,G,66.1,G
20240306,00:20:18,43.5,G,66.1,G
20240306,00:20:23,43.5,G,66.1,G
20240306,00:20:28,43.5,G,66.1,G
20240306,00:20:33,43.5,G,66.1,G
