Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
998,299.32120,2.99244,15.90001,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.10001,12.08045,11.98156,50.66072,70.99826,175.75060,2.27219,-0.36383
2005,299.17620,2.99366,15.90001,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.10001,12.08411,11.98156,50.65462,71.00131,175.76060,2.24993,-1.17921
3001,299.27660,2.99376,15.90001,12.10001,12.30000,12.00000,11.70000,11.70000,11.10001,12.10001,12.08045,11.98156,50.65462,70.93112,175.50140,2.32241,-1.98656
4000,299.47000,2.99369,15.90001,12.10001,12.30000,12.10001,11.70000,11.80000,11.10001,12.10001,12.03650,11.97424,50.58748,70.92502,176.01320,2.28904,-0.95659
5007,299.69290,2.99630,15.90001,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.10001,12.04749,11.98156,50.57833,70.92197,176.35810,2.30334,-0.76686
6001,299.58890,2.99575,15.90001,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.04383,11.98156,50.58748,70.91586,175.88520,2.25470,-1.22839
7001,299.81360,2.99680,15.90001,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.04383,11.98523,50.58443,70.93112,175.82070,2.33799,0.19998
8001,299.76900,3.00081,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.10001,12.04016,11.98523,50.58443,70.97385,176.31360,2.28904,-0.50723
9002,299.57220,3.00277,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.08045,11.98523,50.58138,70.97079,176.49830,2.34562,-1.67203
10002,299.96390,3.00483,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.10001,12.07679,11.98523,50.58748,70.97385,176.80090,2.26106,-0.74666
11001,299.90450,3.00598,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.08411,11.98156,50.59053,70.97385,176.72300,2.34435,-0.87326
11997,299.66500,3.00746,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.08045,11.98523,50.59053,70.97079,176.44370,2.30525,-0.62614
13000,299.52010,3.00746,16.00000,12.10001,12.30000,12.10001,11.70000,11.70000,11.10001,12.00000,12.07312,11.98523,50.58443,71.00436,176.45260,2.31669,-1.01309
13998,299.52570,3.00331,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.08045,11.98523,50.58138,71.01657,175.59370,2.28172,-1.43527
14999,299.60190,3.00315,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.08045,11.98156,50.58138,71.00742,174.97290,2.26138,-1.14203
15996,299.60750,3.00129,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.08045,11.98156,50.58443,71.00131,175.28550,2.23754,-0.82480
16999,299.68730,2.99982,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.08777,11.94128,50.58748,71.19053,175.93190,2.29984,-0.48293
17999,299.75420,2.99951,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.00000,12.00000,12.05481,11.94494,50.58748,71.19968,176.31580,2.25279,-0.62434
18999,299.67990,3.00100,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.10001,12.00000,12.04749,11.94494,50.58443,71.19663,176.74080,2.31923,-1.09464
20000,299.69290,3.00050,16.00000,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04383,11.94494,50.58748,71.19358,176.41820,2.32845,-0.64296
21001,300.31810,3.00021,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.10001,12.00000,12.04383,11.94494,50.59053,71.19358,175.90410,2.27664,-1.43135
22001,301.09170,2.99979,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.00000,12.00000,12.04383,11.94128,50.58443,71.27903,176.69520,2.31002,-2.55537
22996,301.51650,3.00046,16.00000,12.10001,12.30000,12.10001,11.70000,11.80000,11.00000,12.00000,12.05848,11.94128,50.58748,71.27293,177.27040,2.26297,-3.26723
23998,301.68440,2.99779,16.00000,12.10001,12.30000,12.00000,11.70000,11.80000,11.00000,12.00000,12.04016,11.94494,50.58443,71.26377,177.40620,2.33576,-3.65132
24997,301.77300,2.99676,16.00000,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.94494,50.58443,71.26987,177.20590,2.33926,-4.33028
25997,301.74900,2.99883,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.10001,12.00000,12.05481,11.93762,50.58443,71.26682,176.85990,2.26933,-4.70490
26999,301.61620,2.99984,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.00000,12.00000,12.05115,11.93762,50.54475,71.15695,176.93660,2.26551,-3.47966
28001,301.34850,3.00114,16.00000,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.05115,11.94128,50.54170,71.15390,177.24040,2.29666,-4.04453
29007,301.28200,2.99995,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.00000,12.00000,12.05115,11.94128,50.54475,71.16306,177.32830,2.30779,-4.20259
30008,300.58290,2.99841,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.00000,12.00000,12.04383,11.94128,50.55086,71.15085,176.85870,2.27155,-3.38435
31000,299.80060,2.99909,16.00000,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,11.90001,12.04016,11.93762,50.55391,71.11118,176.45380,2.34435,-2.01285
32003,299.75420,2.99803,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.00000,12.00000,12.05481,11.94494,50.54475,71.11423,175.82510,2.28872,-1.59676
33008,299.67060,2.99532,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.00000,12.00000,12.04749,11.94494,50.55086,71.11728,175.42570,2.27664,-1.20335
33997,299.45880,2.99587,16.00000,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.05115,11.94128,50.55086,71.12338,175.39570,2.27028,-1.58333
35001,299.28590,2.99684,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.00000,12.00000,12.04749,11.94128,50.55086,71.11423,175.55920,2.26901,-1.36214
35999,299.28590,2.99932,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,11.90001,12.05115,11.94494,50.58138,71.00742,176.18560,2.26360,-0.74577
37000,299.62790,3.00164,16.00000,12.10001,12.30000,12.00000,11.60001,11.80000,11.00000,12.00000,12.04016,11.93762,50.59053,71.00436,176.82650,2.26011,-0.84662
38001,300.04920,3.00235,16.10001,12.10001,12.30000,12.00000,11.60001,11.80000,11.00000,11.90001,12.04383,11.94494,50.58138,71.00742,177.25260,2.27505,0.16940
39007,300.01770,3.00242,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.94494,50.58443,71.00131,177.21920,2.31637,0.25755
39998,299.82290,3.00385,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.05481,11.94128,50.58748,71.00131,176.72750,2.32241,-0.00298
40997,299.91190,3.00396,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.05115,11.94494,50.58443,71.11118,176.09440,2.30143,-0.47343
42003,299.83770,3.00544,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.05115,11.94494,50.59053,71.12643,175.61480,2.25566,-0.96034
43003,299.51830,3.00463,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,12.00000,12.05115,11.94494,50.58138,71.12338,176.27570,2.26042,-0.84680
43999,299.75790,3.00566,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.94128,50.58443,71.12033,176.49160,2.27664,-0.83107
45002,300.07700,3.00453,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04016,11.93762,50.58138,71.22410,175.78060,2.32146,-0.77170
45999,300.05480,3.00492,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,12.00000,12.04383,11.94494,50.58138,71.22410,175.79620,2.26329,-0.81641
47001,299.58890,3.00585,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04016,11.93762,50.58138,71.21799,175.47130,2.30461,-0.71466
48006,299.33050,3.00314,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,12.00000,12.03650,11.93762,50.58748,71.22410,175.71280,2.27028,-0.46109
49002,299.50340,3.00042,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.93762,50.58443,71.21799,176.21230,2.31923,-0.88130
49997,299.77090,2.99795,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,12.00000,12.05481,11.94494,50.62716,71.11423,176.15330,2.28713,0.04565
51006,299.79690,2.99915,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,11.90001,12.04383,11.94128,50.61800,71.11118,175.90970,2.28681,0.26614
52005,299.47740,2.99702,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,12.00000,12.04749,11.94494,50.63326,71.11728,175.63930,2.27759,-1.55794
53002,299.56850,2.99433,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.05115,11.94128,50.62410,71.12033,175.90520,2.30080,-1.75786
54001,299.82290,2.99702,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,11.90001,12.04383,11.94494,50.66072,71.11423,176.56610,2.30715,-0.60397
54997,300.08260,2.99985,16.10001,12.10001,12.30000,12.10001,11.60001,11.70000,11.00000,12.00000,12.04749,11.94494,50.66072,70.85482,176.40920,2.28045,-0.76866
56001,299.68730,3.00109,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.94128,50.66378,70.85482,175.66820,2.26456,-1.33084
56999,299.49040,3.00360,16.10001,12.10001,12.30000,12.10001,11.60001,11.60001,11.00000,12.00000,12.05115,11.94128,50.65462,70.81210,175.67490,2.26138,-1.44528
57996,299.61860,3.00686,16.10001,12.10001,12.30000,12.10001,11.60001,11.70000,11.00000,12.00000,12.05115,11.93396,50.66378,70.81515,176.08330,2.26805,-1.68044
59000,299.44580,3.00663,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,11.90001,12.04016,11.94494,50.65157,70.80294,176.59170,2.20893,-1.95848
59998,299.58700,3.00148,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04383,11.93762,50.66072,70.81515,176.57500,2.29285,-1.74731
61001,299.92680,2.99787,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.94128,50.66072,70.97385,176.13780,2.30016,-1.15060
62000,300.09380,2.99394,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.94494,50.66072,70.97079,176.63180,2.28808,-0.37044
63000,299.91560,2.98909,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.94128,50.65157,70.95554,177.30160,2.28840,-0.15068
64002,300.24950,2.99032,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,11.90001,12.04016,11.94128,50.66378,70.97079,176.98220,2.31733,0.11003
64998,300.10670,2.99431,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.93762,50.65462,70.96774,176.31020,2.22132,0.15402
66003,299.76720,2.99967,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04016,11.94128,50.66072,71.26987,176.68520,2.30302,-0.58537
67002,299.89900,3.00286,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.02917,11.93762,50.66072,71.25767,177.11580,2.24707,-0.92905
68000,299.64090,3.00394,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04383,11.94128,50.66378,71.29429,176.18230,2.21560,-1.15276
69000,299.58330,3.00283,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,11.90001,12.04749,11.94128,50.66072,71.30344,174.96060,2.29317,-0.82552
70010,299.53500,3.00319,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04383,11.94494,50.66072,71.29734,175.57370,2.31606,-0.78029
71001,299.65200,3.00375,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,12.00000,12.05115,11.95227,50.66072,71.30344,176.20010,2.31161,-0.20058
72003,299.89340,3.00182,16.20000,12.10001,12.30000,12.00000,11.60001,11.70000,10.90001,12.00000,12.04749,11.94128,50.66378,71.30039,175.80180,2.29921,-0.14996
73000,299.91560,3.00100,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,10.90001,12.00000,12.04749,11.93029,50.66072,71.29734,175.94310,2.26297,-0.63991
73999,299.78020,3.00346,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04749,11.93762,50.65462,71.30039,176.25350,2.27855,0.11272
75004,299.48670,3.00048,16.10001,12.10001,12.30000,12.10001,11.60001,11.70000,10.90001,12.00000,12.04383,11.94494,50.65157,71.30344,176.16340,2.34657,-0.03499
76003,299.63350,2.99825,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04383,11.93396,50.64852,71.30039,176.67180,2.34689,-0.43965
77003,299.57780,2.99610,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,12.00000,12.04016,11.93762,50.65462,71.26377,177.24590,2.28141,-0.74774
78001,299.87110,2.99752,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,10.90001,12.00000,12.04383,11.94128,50.65157,71.25767,177.00900,2.29921,-0.98216
79001,300.16980,2.99626,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,10.90001,12.00000,12.04383,11.94494,50.66072,71.27293,177.06350,2.27632,-1.02882
80000,299.87670,2.99538,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04383,11.93762,50.65462,71.25767,177.48630,2.33386,-0.71376
81003,299.92120,2.99687,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,10.90001,12.00000,12.04016,11.94128,50.66072,71.26377,177.26600,2.29412,-0.21916
82003,299.61300,2.99665,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04383,11.88635,50.69429,71.08066,176.45820,2.28872,-1.22946
83004,299.81170,2.99700,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,11.90001,12.04383,11.89367,50.69124,71.07761,176.64290,2.30302,-2.42232
84002,300.88640,2.99575,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,10.90001,11.90001,12.04016,11.88269,50.69429,71.08676,176.71080,2.29666,-3.27687
85002,301.24870,2.99756,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.05481,11.88635,50.69429,71.08066,176.69410,2.29253,-3.78633
86000,301.10090,2.99809,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,12.00000,12.04383,11.89734,50.69429,71.08066,177.75780,2.24835,-3.88915
87001,301.81540,3.00042,16.10001,12.10001,12.30000,12.10001,11.60001,11.60001,11.00000,11.90001,12.05115,11.89367,50.69429,70.96774,177.26040,2.30143,-3.35466
87998,301.99790,3.00217,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,10.90001,11.90001,12.04383,11.88635,50.69124,70.97079,177.06460,2.30557,-2.61008
88999,301.67890,2.99884,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,10.90001,11.90001,12.04749,11.88635,50.69124,70.97079,177.55190,2.29762,-2.68143
89998,301.75090,2.99728,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,11.00000,11.90001,12.04749,11.88635,50.69429,70.95248,177.62760,2.26106,-3.41565
90997,301.35590,2.99463,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,10.90001,12.00000,12.04749,11.88635,50.72787,70.92197,176.67290,2.27886,-3.91023
92000,300.99550,2.99290,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,11.00000,11.90001,12.04383,11.87902,50.73397,70.93112,175.82290,2.25979,-3.77202
92997,300.01770,2.99552,16.10001,12.10001,12.30000,12.00000,11.60001,11.70000,10.90001,12.00000,12.04383,11.88635,50.72787,70.91586,176.20120,2.26520,-3.11433
94001,299.16870,2.99581,16.10001,12.10001,12.30000,12.00000,11.60001,11.60001,10.90001,11.90001,12.04383,11.88635,50.73092,70.93723,175.72280,2.31669,-1.89931
94997,299.39190,2.99449,16.10001,12.10001,12.30000,12.10001,11.60001,11.70000,10.90001,11.90001,12.07312,11.88269,50.72787,70.92197,175.91190,2.31987,-1.24843
95999,299.74300,2.99610,16.20000,12.10001,12.30000,12.00000,11.60001,11.70000,10.90001,11.90001,12.08045,11.84607,50.73092,71.03793,176.23460,2.29698,-1.67096
