Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
990,300.06590,0.00260,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.12073,12.37342,52.30873,52.06763,179.12740,1.60374,3.08318
1998,299.83950,0.00260,17.00000,12.20000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.11707,12.37708,52.30568,52.07373,179.03610,1.62313,3.49338
3001,299.92120,0.00266,16.90001,12.20000,12.40001,12.20000,12.10001,12.20000,11.00000,12.30000,12.10242,12.36976,52.27516,52.07373,178.79690,1.58785,3.10141
3993,299.93230,0.00246,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.10608,12.36610,52.27516,52.07373,178.59890,1.66732,2.43353
4992,300.21060,0.00245,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.30000,12.10608,12.36610,52.27516,52.07068,178.81700,1.61296,3.56902
5997,300.23830,0.00253,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.11707,12.36610,52.26905,52.06458,179.05730,1.62631,4.00568
6995,300.05850,0.00260,16.90001,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.37342,52.27516,52.07373,178.71680,1.64856,3.52055
7996,299.98800,0.00270,17.00000,12.30000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.13172,12.34046,52.24768,52.01880,179.06390,1.63712,3.63695
8993,299.84510,0.00272,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.36243,52.27821,52.04321,179.34660,1.66541,3.05920
9998,299.83030,0.00239,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.13538,12.34046,52.25684,52.01575,178.45430,1.64125,2.60843
10999,299.68170,0.00251,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.36610,52.27211,52.03101,178.03590,1.63998,2.75005
11990,299.54060,0.00267,16.90001,12.20000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.15369,12.36976,52.20191,52.02795,178.66560,1.69053,3.36803
12992,300.00660,0.00265,17.00000,12.30000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16468,12.32215,52.20191,52.00354,178.55440,1.60279,3.94702
13992,300.29950,0.00260,17.00000,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.30000,12.15369,12.32215,52.20191,52.00354,178.67680,1.63140,4.13692
14996,300.21800,0.00253,16.90001,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.31849,52.19886,51.99438,178.97500,1.59325,3.31419
15995,300.48480,0.00247,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.16101,12.31849,52.20191,51.99438,179.23090,1.60374,3.13736
16996,300.21980,0.00250,17.00000,12.20000,12.50000,12.10001,12.10001,12.20000,11.00000,12.40001,12.10975,12.32215,52.16834,51.99438,179.26090,1.59198,3.04598
17996,299.75420,0.00257,16.90001,12.30000,12.40001,12.10001,12.10001,12.20000,11.00000,12.40001,12.11341,12.36976,52.17139,51.99438,178.18500,1.64316,2.53261
18995,299.81910,0.00247,16.90001,12.30000,12.40001,12.10001,12.00000,12.20000,11.00000,12.40001,12.11707,12.36976,52.17139,51.99438,177.93690,1.58848,2.84517
19996,299.92860,0.00238,16.90001,12.20000,12.50000,12.20000,12.10001,12.20000,11.00000,12.40001,12.10975,12.36976,52.16834,51.99133,178.52550,1.63426,2.72269
