Date,Time,MQ2.SV Hinten,MQ3.SV Hinten,MQ9B.SV Hinten,MQ135.SV Hinten,MP503.SV Hinten,HCOH.SV Hinten
20240306,14:35:31,60,34,32,45,254,28
20240306,14:35:31,63,34,31,45,253,28
20240306,14:35:31,59,34,32,44,333,28
20240306,14:35:31,59,34,32,44,230,28
20240306,14:35:31,58,34,32,44,322,29
20240306,14:35:35,58,34,31,45,316,28
20240306,14:35:38,58,34,32,44,240,29
20240306,14:35:42,58,34,32,44,271,28
20240306,14:35:46,59,34,31,44,251,27
20240306,14:35:49,63,33,32,44,233,27
20240306,14:35:53,62,33,32,44,277,28
20240306,14:35:57,60,35,30,44,327,27
20240306,14:36:00,62,35,31,43,233,28
20240306,14:36:04,65,34,32,43,324,28
20240306,14:36:09,60,33,31,45,316,27
20240306,14:36:11,60,34,32,44,236,28
20240306,14:36:15,59,35,31,44,248,27
20240306,14:36:19,62,35,30,44,325,28
20240306,14:36:22,60,34,30,44,253,29
20240306,14:36:26,63,33,32,44,271,27
20240306,14:36:30,63,33,32,44,230,27
20240306,14:36:33,63,33,32,44,232,27
20240306,14:36:37,62,33,32,44,339,26
20240306,14:36:41,61,33,32,44,240,28
20240306,14:36:44,62,34,31,44,341,27
20240306,14:36:48,56,34,32,44,231,28
20240306,14:36:52,56,34,32,44,322,28
20240306,14:36:55,57,34,31,44,301,28
20240306,14:36:59,57,34,31,44,251,28
20240306,14:37:03,57,34,31,45,330,28
20240306,14:37:06,57,35,31,44,341,28
20240306,14:37:10,56,34,32,44,239,28
20240306,14:37:14,60,34,31,44,318,28
20240306,14:37:17,59,34,32,44,276,27
20240306,14:37:21,61,33,32,44,276,27
20240306,14:37:25,63,33,31,44,301,27
20240306,14:37:28,63,33,32,44,270,27
20240306,14:37:32,60,36,34,44,317,28
20240306,14:37:36,62,34,33,44,334,26
20240306,14:37:39,62,34,32,44,345,28
20240306,14:37:43,60,36,32,44,226,29
20240306,14:37:47,61,35,33,43,341,28
20240306,14:37:50,65,34,32,44,298,28
20240306,14:37:54,64,34,33,44,262,28
20240306,14:37:58,67,34,33,44,311,28
20240306,14:38:01,65,34,32,44,258,28
20240306,14:38:05,61,36,32,44,235,29
20240306,14:38:09,62,35,33,44,338,28
20240306,14:38:12,61,35,33,44,206,29
20240306,14:38:16,82,35,33,44,365,29
20240306,14:38:20,82,35,33,46,279,28
20240306,14:38:23,93,35,33,45,387,29
20240306,14:38:27,97,34,33,44,244,29
20240306,14:38:31,95,36,31,46,192,28
20240306,14:38:34,97,35,32,44,360,28
20240306,14:38:38,98,35,33,45,271,28
20240306,14:38:42,99,35,32,46,311,28
20240306,14:38:46,94,35,32,44,260,29
20240306,14:38:49,96,35,33,45,318,29
20240306,14:38:53,96,35,32,44,251,29
20240306,14:38:57,98,35,33,45,232,29
20240306,14:39:00,96,35,33,44,300,29
20240306,14:39:04,97,35,32,45,240,30
20240306,14:39:08,96,35,33,45,338,28
20240306,14:39:11,102,35,32,46,247,29
20240306,14:39:15,94,35,32,46,324,29
20240306,14:39:19,96,35,33,45,255,29
20240306,14:39:22,98,34,32,46,248,29
20240306,14:39:26,83,35,32,46,320,30
20240306,14:39:30,84,34,32,46,250,29
20240306,14:39:33,85,34,33,46,324,28
