Date,Time,MQ2.SV Hinten,MQ3.SV Hinten,MQ9B.SV Hinten,MQ135.SV Hinten,MP503.SV Hinten,HCOH.SV Hinten
20240306,14:35:30.681,60.0,34.0,32.0,45.0,254.0,28.0
20240306,14:35:30.701,63.0,34.0,31.0,45.0,253.0,28.0
20240306,14:35:30.701,59.0,34.0,32.0,44.0,333.0,28.0
20240306,14:35:30.701,59.0,34.0,32.0,44.0,230.0,28.0
20240306,14:35:30.967,58.0,34.0,32.0,44.0,322.0,29.0
20240306,14:35:34.634,58.0,34.0,31.0,45.0,316.0,28.0
20240306,14:35:38.312,58.0,34.0,32.0,44.0,240.0,29.0
20240306,14:35:41.975,58.0,34.0,32.0,44.0,271.0,28.0
20240306,14:35:45.650,59.0,34.0,31.0,44.0,251.0,27.0
20240306,14:35:49.309,63.0,33.0,32.0,44.0,233.0,27.0
20240306,14:35:52.982,62.0,33.0,32.0,44.0,277.0,28.0
20240306,14:35:56.647,60.0,35.0,30.0,44.0,327.0,27.0
20240306,14:36:00.329,62.0,35.0,31.0,43.0,233.0,28.0
20240306,14:36:04.010,65.0,34.0,32.0,43.0,324.0,28.0
20240306,14:36:09.027,60.0,33.0,31.0,45.0,316.0,27.0
20240306,14:36:11.336,60.0,34.0,32.0,44.0,236.0,28.0
20240306,14:36:15.022,59.0,35.0,31.0,44.0,248.0,27.0
20240306,14:36:18.695,62.0,35.0,30.0,44.0,325.0,28.0
20240306,14:36:22.369,60.0,34.0,30.0,44.0,253.0,29.0
20240306,14:36:26.017,63.0,33.0,32.0,44.0,271.0,27.0
20240306,14:36:29.680,63.0,33.0,32.0,44.0,230.0,27.0
20240306,14:36:33.371,63.0,33.0,32.0,44.0,232.0,27.0
20240306,14:36:37.162,62.0,33.0,32.0,44.0,339.0,26.0
20240306,14:36:40.705,61.0,33.0,32.0,44.0,240.0,28.0
20240306,14:36:44.379,62.0,34.0,31.0,44.0,341.0,27.0
20240306,14:36:48.042,56.0,34.0,32.0,44.0,231.0,28.0
20240306,14:36:51.725,56.0,34.0,32.0,44.0,322.0,28.0
20240306,14:36:55.374,57.0,34.0,31.0,44.0,301.0,28.0
20240306,14:36:59.039,57.0,34.0,31.0,44.0,251.0,28.0
20240306,14:37:02.726,57.0,34.0,31.0,45.0,330.0,28.0
20240306,14:37:06.401,57.0,35.0,31.0,44.0,341.0,28.0
20240306,14:37:10.072,56.0,34.0,32.0,44.0,239.0,28.0
20240306,14:37:13.737,60.0,34.0,31.0,44.0,318.0,28.0
20240306,14:37:17.408,59.0,34.0,32.0,44.0,276.0,27.0
20240306,14:37:21.069,61.0,33.0,32.0,44.0,276.0,27.0
20240306,14:37:24.733,63.0,33.0,31.0,44.0,301.0,27.0
20240306,14:37:28.401,63.0,33.0,32.0,44.0,270.0,27.0
