Date,Time,MQ2.SV Vorne,MQ3.SV Vorne,MQ9B.SV Vorne,MQ135.SV Vorne,MP503.SV Vorne,HCOH.SV Vorne
20240306,14:34:00.392,78.0,30.0,28.0,223.0,36.0,23.0
20240306,14:34:00.392,78.0,29.0,29.0,323.0,36.0,23.0
20240306,14:34:00.392,77.0,29.0,29.0,333.0,37.0,23.0
20240306,14:34:00.392,79.0,29.0,29.0,338.0,36.0,25.0
20240306,14:34:00.392,78.0,30.0,29.0,316.0,37.0,22.0
20240306,14:34:00.406,79.0,30.0,29.0,338.0,37.0,22.0
20240306,14:34:00.406,79.0,30.0,29.0,313.0,36.0,24.0
20240306,14:34:00.406,78.0,29.0,29.0,183.0,36.0,23.0
20240306,14:34:00.406,79.0,31.0,28.0,116.0,36.0,23.0
20240306,14:34:00.442,79.0,30.0,29.0,57.0,36.0,24.0
20240306,14:34:00.442,79.0,30.0,30.0,262.0,36.0,23.0
20240306,14:34:00.442,81.0,29.0,29.0,274.0,36.0,23.0
20240306,14:34:00.442,80.0,29.0,29.0,110.0,37.0,22.0
20240306,14:34:00.442,80.0,30.0,29.0,242.0,37.0,23.0
20240306,14:34:00.465,80.0,29.0,30.0,82.0,35.0,23.0
20240306,14:34:00.465,81.0,30.0,28.0,256.0,36.0,22.0
20240306,14:34:00.465,80.0,31.0,29.0,284.0,36.0,24.0
20240306,14:34:00.465,79.0,29.0,29.0,276.0,36.0,24.0
20240306,14:34:00.473,83.0,29.0,29.0,282.0,36.0,24.0
20240306,14:34:00.473,81.0,30.0,29.0,281.0,37.0,22.0
20240306,14:34:00.473,84.0,29.0,29.0,276.0,36.0,23.0
20240306,14:34:00.473,83.0,29.0,29.0,101.0,35.0,24.0
20240306,14:34:00.473,84.0,29.0,30.0,232.0,37.0,24.0
20240306,14:34:00.496,84.0,30.0,29.0,245.0,36.0,23.0
20240306,14:34:00.496,87.0,29.0,30.0,275.0,36.0,22.0
20240306,14:34:00.496,83.0,29.0,29.0,92.0,36.0,23.0
20240306,14:34:00.496,86.0,29.0,30.0,331.0,36.0,24.0
20240306,14:34:00.501,86.0,29.0,30.0,338.0,37.0,24.0
20240306,14:34:00.501,86.0,29.0,28.0,344.0,35.0,23.0
20240306,14:34:00.501,87.0,30.0,30.0,346.0,36.0,22.0
20240306,14:34:00.501,77.0,29.0,29.0,305.0,36.0,23.0
20240306,14:34:00.501,88.0,28.0,29.0,291.0,36.0,23.0
20240306,14:34:00.512,87.0,29.0,29.0,306.0,35.0,23.0
20240306,14:34:00.512,88.0,30.0,29.0,303.0,35.0,22.0
20240306,14:34:00.512,89.0,30.0,30.0,297.0,37.0,22.0
20240306,14:34:00.512,79.0,30.0,29.0,306.0,36.0,23.0
20240306,14:34:00.518,81.0,30.0,29.0,321.0,36.0,23.0
20240306,14:36:02.301,110.0,31.0,29.0,249.0,37.0,26.0
20240306,14:36:02.306,111.0,31.0,28.0,265.0,36.0,25.0
20240306,14:36:02.306,111.0,30.0,30.0,270.0,36.0,25.0
20240306,14:36:03.287,111.0,31.0,29.0,282.0,36.0,24.0
20240306,14:36:06.982,112.0,31.0,29.0,287.0,36.0,25.0
