Time [ms],Volumeflow_Air [m^3/h],Volumeflow_Water [m^3/h],T_Water_In [°C],T_1_Back [°C],T_1_bottom [°C],T_1_Front [°C],T_2_Top [°C],T_2_Back [°C],T_2_Bottom [°C],T_2_Front [°C],T_1_Top_Combi [°C],T_2_Top_Combi [°C],rel_Humid_1 [%],rel_Humid_2 [%],dp_HEPA [Pa],dp_Rainwasher [Pa],dp_RainwasherToOut [Pa]
999,299.32870,6.00130,10.20000,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.90001,12.59315,10.26765,52.91299,94.09772,176.96220,4.21839,2.12155
1992,299.23940,6.00065,10.30000,12.80000,13.10001,12.70000,10.10001,9.70000,10.50000,9.90001,12.59315,10.27497,52.87942,94.09467,176.51160,4.23111,1.51073
3005,299.28970,6.00025,10.20000,12.80000,13.00000,12.80000,10.10001,9.70000,10.40001,9.90001,12.59682,10.27497,52.87942,94.10383,176.02100,4.24001,1.27756
4000,300.04740,6.00044,10.20000,12.90001,13.20000,12.70000,10.10001,9.70000,10.50000,9.90001,12.59315,10.27497,52.88247,94.10688,176.82980,4.30041,-0.15062
5003,301.21920,6.00261,10.20000,12.80000,13.00000,12.80000,10.10001,9.70000,10.40001,9.90001,12.60049,10.26765,52.87637,94.09467,177.86560,4.28388,-0.64433
6002,301.54060,6.00822,10.20000,12.90001,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59315,10.28230,52.88247,94.09772,178.06370,4.23874,-0.51201
6998,301.28390,6.00812,10.20000,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.58583,10.28230,52.87637,94.10383,177.81230,4.23333,-0.66257
7992,301.10100,6.00233,10.20000,12.80000,13.20000,12.70000,10.10001,9.70000,10.50000,9.90001,12.59682,10.28230,52.88857,94.11298,177.49740,4.23047,-0.57298
8999,300.93830,5.99874,10.20000,12.70000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27863,52.88247,94.09467,177.77780,4.20663,-1.39035
10002,301.17120,5.99841,10.30000,12.90001,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27863,52.88552,94.10383,178.20950,4.25463,-0.59552
10997,301.43720,5.99812,10.30000,12.90001,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.59315,10.28230,52.84280,94.10383,177.94020,4.22443,-0.01956
12002,300.82360,5.99845,10.30000,12.70000,13.00000,12.80000,10.10001,9.70000,10.40001,9.80000,12.59682,10.32624,52.85195,94.09467,177.59750,4.25845,-0.77414
12994,300.64400,5.99840,10.30000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.32624,52.83974,94.09772,178.11270,4.30168,0.09988
14004,301.24330,5.99724,10.30000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59315,10.31892,52.84890,94.09467,178.78360,4.26067,0.82874
15003,301.08430,5.99348,10.30000,12.90001,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.32258,52.83974,94.09772,179.04390,4.20218,-0.04727
15995,300.18840,5.99193,10.30000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.60415,10.27497,52.85195,94.09162,178.17610,4.30136,1.27506
16998,299.62050,5.99160,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27863,52.84280,94.09772,177.15470,4.22062,2.76047
17996,299.31380,5.99538,10.20000,12.90001,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59315,10.27863,52.84280,94.09467,176.51940,4.28515,2.29288
18997,299.07200,5.99859,10.10001,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.59315,10.27863,52.83974,94.09467,176.40920,4.28324,3.09520
20005,299.47740,5.99892,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27497,52.84890,94.09467,177.04120,4.29596,3.57657
21003,299.79500,5.99967,10.20000,12.90001,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27863,52.84890,94.09467,177.51410,4.27243,3.98927
21997,299.50900,6.00042,10.20000,12.80000,13.00000,12.70000,10.10001,9.70000,10.40001,9.80000,12.59315,10.27863,52.84890,94.09772,177.39170,4.21617,3.37540
23001,299.26180,5.99846,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.60049,10.28230,52.83974,94.10383,177.14470,4.31598,2.48903
24005,299.76350,5.99742,10.20000,12.80000,13.20000,12.80000,10.10001,9.70000,10.40001,9.80000,12.60049,10.27497,52.83974,94.09772,177.51410,4.25972,2.59488
25000,300.21430,5.99925,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.58583,10.27497,52.84890,94.09772,177.11800,4.20567,2.64745
26001,300.00290,5.99919,10.20000,12.80000,13.20000,12.80000,10.10001,9.70000,10.40001,9.80000,12.59315,10.26765,52.84280,94.09772,176.49600,4.28483,2.93498
27001,299.54060,5.99707,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59315,10.27863,52.83669,94.10688,176.84540,4.26798,2.21866
28000,299.36780,5.99465,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.50000,9.80000,12.60049,10.27863,52.85195,94.10688,176.72740,4.20949,1.68311
28999,299.55920,5.99305,10.20000,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27863,52.84890,94.10383,176.53940,4.28928,2.60616
30006,299.44580,5.99112,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27863,52.84280,94.05500,176.92100,4.27434,3.13078
31002,299.36590,5.99100,10.20000,12.90001,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59315,10.27863,52.84280,94.07026,177.72660,4.31916,3.60965
32002,299.77460,5.99699,10.20000,12.80000,13.00000,12.70000,10.10001,9.70000,10.40001,9.90001,12.59315,10.26765,52.84890,94.06721,177.65090,4.28451,4.18294
32998,299.45700,6.00322,10.20000,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.90001,12.59315,10.27497,52.84890,94.06721,176.59840,4.28578,2.67999
34002,299.39940,6.00870,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59682,10.26398,52.84890,94.06110,176.55940,4.32520,2.45523
35010,299.60380,6.01238,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.58217,10.27497,52.84890,94.06416,176.77310,4.24414,3.36897
36002,299.15390,6.01179,10.20000,12.80000,13.10001,12.80000,10.10001,9.70000,10.40001,9.80000,12.58583,10.27863,52.85195,94.06416,176.51380,4.28133,3.30299
37004,299.00130,6.00894,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59682,10.27497,52.84280,94.05805,176.24570,4.29468,3.20464
38006,299.20970,6.00452,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27863,52.84890,94.06721,176.16340,4.29023,2.37906
39003,299.44960,6.00522,10.20000,12.80000,13.20000,12.70000,10.10001,9.70000,10.40001,9.90001,12.59682,10.27863,52.85195,94.06110,176.52160,4.28388,2.66623
40000,299.47370,6.00068,10.20000,12.80000,13.20000,12.70000,10.10001,9.70000,10.40001,9.80000,12.59315,10.27863,52.84280,94.06110,176.46820,4.29214,2.76958
41001,299.33990,5.99949,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.59682,10.27863,52.83974,94.07026,175.95080,4.30263,2.25119
41996,299.44210,6.00030,10.20000,12.90001,13.10001,12.70000,10.10001,9.70000,10.40001,9.80000,12.60415,10.27863,52.83974,94.05805,176.24350,4.29055,2.69341
42995,299.78200,5.99979,10.20000,12.80000,13.10001,12.70000,10.10001,9.80000,10.40001,9.90001,12.60049,10.27497,52.80618,94.05805,176.64510,4.24350,1.99406
44000,300.51260,6.00263,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59315,10.27497,52.81228,94.05500,176.79310,4.20885,-0.30566
44994,301.09170,6.00335,10.20000,12.80000,13.10001,12.70000,10.10001,9.70000,10.40001,9.90001,12.59315,10.26398,52.80618,94.06110,178.10710,4.27147,-1.25838
