Date,Time,Ch1: [ppm],Concentration Status,Temp [°C],Temp. Status
20240314,00:00:02,17.7,G,66.2,G
20240314,00:00:07,17.6,G,66.2,G
20240314,00:00:12,17.6,G,66.2,G
20240314,00:00:17,17.6,G,66.2,G
20240314,00:00:22,17.6,G,66.2,G
20240314,00:00:27,17.6,G,66.2,G
20240314,00:00:32,17.6,G,66.2,G
20240314,00:00:37,17.6,G,66.2,G
20240314,00:00:42,17.6,G,66.2,G
20240314,00:00:47,17.6,G,66.2,G
20240314,00:00:52,17.6,G,66.2,G
20240314,00:00:57,17.5,G,66.2,G
20240314,00:01:02,17.5,G,66.2,G
20240314,00:01:07,17.4,G,66.2,G
20240314,00:01:12,17.4,G,66.2,G
20240314,00:01:17,17.4,G,66.2,G
20240314,00:01:22,17.5,G,66.2,G
20240314,00:01:27,17.5,G,66.2,G
20240314,00:01:32,17.5,G,66.2,G
20240314,00:01:37,17.5,G,66.2,G
20240314,00:01:42,17.5,G,66.2,G
20240314,00:01:47,17.5,G,66.2,G
20240314,00:01:52,17.5,G,66.2,G
20240314,00:01:57,17.5,G,66.2,G
20240314,00:02:02,17.4,G,66.2,G
20240314,00:02:07,17.4,G,66.2,G
20240314,00:02:12,17.3,G,66.2,G
20240314,00:02:17,17.3,G,66.2,G
20240314,00:02:22,17.3,G,66.2,G
20240314,00:02:27,17.4,G,66.2,G
20240314,00:02:32,17.4,G,66.2,G
20240314,00:02:37,17.4,G,66.2,G
20240314,00:02:42,17.4,G,66.2,G
20240314,00:02:47,17.4,G,66.2,G
20240314,00:02:52,17.4,G,66.2,G
20240314,00:02:57,17.4,G,66.2,G
20240314,00:03:02,17.4,G,66.2,G
20240314,00:03:07,17.4,G,66.2,G
20240314,00:03:12,17.4,G,66.2,G
20240314,00:03:17,17.4,G,66.2,G
20240314,00:03:22,17.4,G,66.2,G
20240314,00:03:27,17.4,G,66.2,G
20240314,00:03:32,17.5,G,66.2,G
20240314,00:03:37,17.5,G,66.2,G
20240314,00:03:42,17.5,G,66.2,G
20240314,00:03:47,17.5,G,66.2,G
20240314,00:03:52,17.5,G,66.2,G
20240314,00:03:57,17.5,G,66.2,G
20240314,00:04:02,17.4,G,66.2,G
20240314,00:04:07,17.4,G,66.2,G
20240314,00:04:12,17.4,G,66.2,G
20240314,00:04:17,17.4,G,66.2,G
20240314,00:04:22,17.4,G,66.2,G
20240314,00:04:27,17.4,G,66.2,G
20240314,00:04:32,17.4,G,66.2,G
20240314,00:04:37,17.4,G,66.2,G
20240314,00:04:42,17.5,G,66.2,G
20240314,00:04:47,17.6,G,66.2,G
20240314,00:04:52,17.6,G,66.2,G
20240314,00:04:57,17.6,G,66.2,G
20240314,00:05:02,17.5,G,66.2,G
20240314,00:05:07,17.5,G,66.2,G
20240314,00:05:12,17.5,G,66.2,G
20240314,00:05:17,17.5,G,66.2,G
20240314,00:05:22,17.5,G,66.2,G
20240314,00:05:27,17.5,G,66.2,G
20240314,00:05:32,17.6,G,66.2,G
20240314,00:05:37,17.6,G,66.2,G
20240314,00:05:42,17.6,G,66.2,G
20240314,00:05:47,17.6,G,66.2,G
20240314,00:05:52,17.6,G,66.2,G
20240314,00:05:57,17.5,G,66.2,G
20240314,00:06:02,17.5,G,66.2,G
20240314,00:06:07,17.5,G,66.2,G
20240314,00:06:12,17.5,G,66.2,G
20240314,00:06:17,17.5,G,66.2,G
20240314,00:06:22,17.5,G,66.2,G
20240314,00:06:27,17.5,G,66.2,G
20240314,00:06:32,17.5,G,66.2,G
20240314,00:06:37,17.5,G,66.2,G
20240314,00:06:42,17.5,G,66.2,G
20240314,00:06:47,17.5,G,66.2,G
20240314,00:06:52,17.5,G,66.2,G
20240314,00:06:57,17.5,G,66.2,G
20240314,00:07:02,17.5,G,66.2,G
20240314,00:07:07,17.5,G,66.2,G
20240314,00:07:12,17.5,G,66.2,G
20240314,00:07:17,17.5,G,66.2,G
20240314,00:07:22,17.5,G,66.2,G
20240314,00:07:27,17.5,G,66.2,G
20240314,00:07:32,17.4,G,66.2,G
20240314,00:07:37,17.4,G,66.2,G
20240314,00:07:42,17.4,G,66.2,G
20240314,00:07:47,17.4,G,66.2,G
20240314,00:07:52,17.4,G,66.2,G
20240314,00:07:57,17.5,G,66.2,G
20240314,00:08:02,17.5,G,66.2,G
20240314,00:08:07,17.5,G,66.2,G
20240314,00:08:12,17.5,G,66.2,G
20240314,00:08:17,17.5,G,66.2,G
20240314,00:08:22,17.5,G,66.2,G
20240314,00:08:27,17.5,G,66.2,G
20240314,00:08:32,17.5,G,66.2,G
20240314,00:08:37,17.5,G,66.2,G
20240314,00:08:42,17.5,G,66.2,G
20240314,00:08:47,17.5,G,66.2,G
20240314,00:08:52,17.5,G,66.2,G
20240314,00:08:57,17.5,G,66.2,G
20240314,00:09:02,17.5,G,66.2,G
20240314,00:09:07,17.5,G,66.2,G
20240314,00:09:12,17.4,G,66.2,G
20240314,00:09:17,17.3,G,66.2,G
20240314,00:09:22,17.4,G,66.2,G
20240314,00:09:27,17.4,G,66.2,G
20240314,00:09:32,17.4,G,66.2,G
20240314,00:09:37,17.5,G,66.2,G
20240314,00:09:42,17.5,G,66.2,G
20240314,00:09:47,17.5,G,66.2,G
20240314,00:09:52,17.5,G,66.2,G
20240314,00:09:57,17.5,G,66.2,G
20240314,00:10:02,17.5,G,66.2,G
20240314,00:10:07,17.5,G,66.2,G
20240314,00:10:12,17.6,G,66.2,G
20240314,00:10:17,17.6,G,66.2,G
20240314,00:10:22,17.6,G,66.2,G
20240314,00:10:27,17.5,G,66.2,G
20240314,00:10:32,17.5,G,66.2,G
20240314,00:10:37,17.5,G,66.2,G
20240314,00:10:42,17.5,G,66.2,G
20240314,00:10:47,17.5,G,66.2,G
20240314,00:10:52,17.5,G,66.2,G
20240314,00:10:57,17.5,G,66.2,G
20240314,00:11:02,17.5,G,66.2,G
20240314,00:11:07,17.5,G,66.2,G
20240314,00:11:12,17.5,G,66.2,G
20240314,00:11:17,17.5,G,66.2,G
20240314,00:11:22,17.5,G,66.2,G
20240314,00:11:27,17.5,G,66.2,G
20240314,00:11:32,17.5,G,66.2,G
20240314,00:11:37,17.5,G,66.2,G
20240314,00:11:42,17.5,G,66.2,G
20240314,00:11:47,17.5,G,66.2,G
20240314,00:11:52,17.5,G,66.2,G
20240314,00:11:57,17.4,G,66.2,G
20240314,00:12:02,17.4,G,66.2,G
20240314,00:12:07,17.4,G,66.2,G
20240314,00:12:12,17.4,G,66.2,G
20240314,00:12:17,17.4,G,66.2,G
20240314,00:12:22,17.4,G,66.2,G
20240314,00:12:27,17.5,G,66.2,G
20240314,00:12:32,17.5,G,66.2,G
20240314,00:12:37,17.5,G,66.2,G
20240314,00:12:42,17.5,G,66.2,G
20240314,00:12:47,17.5,G,66.2,G
