Date,Time,MQ2.SV hinten,MQ3.SV hinten,MQ9B.SV hinten,MQ135.SV hinten,MP503.SV hinten,HCOH.SV hinten
20240314,11:40:26,96,56,35,46,307,29
20240314,11:40:26,100,57,36,45,332,29
20240314,11:40:26,99,57,35,44,201,29
20240314,11:40:28,96,56,35,45,201,28
20240314,11:40:31,103,57,36,45,211,29
20240314,11:40:35,100,57,35,45,306,28
20240314,11:40:39,99,57,35,44,336,29
20240314,11:40:42,95,56,34,45,327,28
20240314,11:40:46,101,57,35,45,256,27
20240314,11:40:50,99,57,35,46,250,28
20240314,11:40:53,102,57,34,46,333,28
20240314,11:40:57,99,56,36,45,322,29
20240314,11:41:01,95,56,34,45,198,28
20240314,11:41:05,98,56,35,45,208,28
20240314,11:41:08,96,57,35,45,320,28
20240314,11:41:12,98,56,35,46,334,29
20240314,11:41:16,101,56,36,45,323,28
20240314,11:41:19,101,56,35,45,200,28
20240314,11:41:23,99,57,34,45,206,28
20240314,11:41:27,98,56,35,44,215,29
20240314,11:41:30,96,56,35,46,301,28
20240314,11:41:34,97,56,35,45,339,28
20240314,11:41:38,103,56,36,44,200,28
20240314,11:41:41,100,56,35,45,310,28
20240314,11:41:45,99,57,36,44,200,29
20240314,11:41:49,97,56,35,46,310,28
20240314,11:41:52,99,56,36,45,335,28
20240314,11:41:56,101,57,35,46,323,27
20240314,11:42:00,99,56,35,44,236,29
20240314,11:42:03,96,56,35,45,200,29
20240314,11:42:07,103,57,34,45,207,29
20240314,11:42:11,99,56,35,45,224,27
20240314,11:42:15,96,56,35,45,337,28
20240314,11:42:18,102,56,35,45,330,28
20240314,11:42:22,99,56,35,44,204,28
20240314,11:42:26,96,56,35,45,208,28
20240314,11:42:29,100,56,36,45,291,28
20240314,11:42:33,99,57,35,44,339,29
20240314,11:42:37,96,56,35,45,332,28
20240314,11:42:40,102,56,35,45,325,28
20240314,11:42:44,99,57,35,44,316,28
20240314,11:42:48,98,56,35,44,198,29
20240314,11:42:51,95,56,35,45,202,28
20240314,11:42:55,100,57,36,45,209,28
20240314,11:42:59,98,56,35,44,213,29
20240314,11:43:02,95,56,35,45,253,28
20240314,11:43:06,100,56,35,45,340,28
20240314,11:43:10,98,56,35,44,336,28
20240314,11:43:13,97,55,35,45,231,28
20240314,11:43:17,100,56,35,45,204,27
20240314,11:43:21,98,56,34,44,249,28
20240314,11:43:25,103,56,35,45,323,28
20240314,11:43:28,100,56,35,45,336,28
20240314,11:43:32,99,56,36,44,336,28
20240314,11:43:36,102,56,35,44,328,29
20240314,11:43:39,96,56,35,45,318,29
20240314,11:43:43,104,56,34,45,198,29
20240314,11:43:47,102,57,35,45,320,29
20240314,11:43:50,102,57,35,46,331,28
20240314,11:43:54,99,56,35,44,323,29
20240314,11:43:58,96,56,34,45,265,29
20240314,11:44:01,102,57,34,45,200,29
20240314,11:44:05,99,57,34,45,205,28
20240314,11:44:09,99,56,35,44,209,29
20240314,11:44:12,98,56,34,45,333,29
20240314,11:44:16,98,57,36,44,281,29
20240314,11:44:20,102,56,36,44,338,29
20240314,11:44:23,100,56,35,45,332,28
