# EMERSON X-STREAM XE	Data Logs
# Device Tag: 	XEA04203188876
# Location: 	MY Plant
# Company: 	MY Company
# Serial: 	XEA04203188876
# Firmware:	1.5.1
# --------	--------	--------
# Date	Time	Ch1:Conce:mg/Nm	Status	Ch1:Temp:°C	Status
10/11/2021	10:18:04	-623.0	O	59.9	G
10/11/2021	10:18:09	-606.9	O	60.0	G
10/11/2021	10:18:14	-603.4	O	60.1	G
10/11/2021	10:18:19	-600.1	O	60.2	G
10/11/2021	10:18:24	-596.4	O	60.3	G
10/11/2021	10:18:29	-592.8	O	60.4	G
10/11/2021	10:18:34	-590.4	O	60.5	G
10/11/2021	10:18:39	-588.0	O	60.6	G
10/11/2021	10:18:44	-446.0	G	60.7	G
10/11/2021	10:18:49	-603.8	O	60.8	G
10/11/2021	10:18:54	-594.9	O	60.9	G
10/11/2021	10:18:59	-588.2	O	61.0	G
10/11/2021	10:19:04	-582.8	O	61.1	G
10/11/2021	10:19:09	-578.2	O	61.2	G
10/11/2021	10:19:14	-574.4	O	61.3	G
10/11/2021	10:19:19	-570.2	O	61.4	G
10/11/2021	10:19:24	-564.9	O	61.4	G
10/11/2021	10:19:29	-548.5	O	61.5	G
10/11/2021	10:19:34	-489.0	O	61.6	G
10/11/2021	10:19:39	-512.3	O	61.7	G
10/11/2021	10:19:44	-520.4	O	61.8	G
10/11/2021	10:19:49	-524.5	O	61.9	G
10/11/2021	10:19:54	-526.7	O	62.0	G
10/11/2021	10:19:59	-528.2	O	62.1	G
10/11/2021	10:20:04	-528.5	O	62.1	G
10/11/2021	10:20:09	-527.3	O	62.2	G
10/11/2021	10:20:14	-526.0	O	62.3	G
10/11/2021	10:20:19	-523.9	O	62.4	G
10/11/2021	10:20:24	-520.9	O	62.5	G
10/11/2021	10:20:29	-518.4	O	62.6	G
10/11/2021	10:20:34	-515.0	O	62.7	G
10/11/2021	10:20:39	-511.8	O	62.7	G
10/11/2021	10:20:44	-509.5	O	62.8	G
10/11/2021	10:20:49	-507.0	O	62.9	G
10/11/2021	10:20:54	-505.0	O	63.0	G
10/11/2021	10:20:59	-503.6	O	63.1	G
10/11/2021	10:21:04	-501.4	O	63.1	G
10/11/2021	10:21:09	-498.9	O	63.2	G
10/11/2021	10:21:14	-496.3	O	63.3	G
10/11/2021	10:21:19	-493.7	O	63.4	G
10/11/2021	10:21:24	-491.2	O	63.5	G
10/11/2021	10:21:29	-488.7	O	63.5	G
10/11/2021	10:21:34	-485.8	O	63.6	G
10/11/2021	10:21:39	-483.4	O	63.7	G
10/11/2021	10:21:44	-480.4	O	63.8	G
10/11/2021	10:21:49	-479.7	O	63.8	G
10/11/2021	10:21:54	-477.5	O	63.9	G
10/11/2021	10:21:59	-474.6	O	64.0	G
10/11/2021	10:22:04	-471.8	O	64.0	G
10/11/2021	10:22:09	-469.5	O	64.1	G
10/11/2021	10:22:14	-466.7	O	64.1	G
10/11/2021	10:22:19	-464.3	O	64.2	G
10/11/2021	10:22:24	-461.9	O	64.3	G
10/11/2021	10:22:29	-460.2	O	64.3	G
10/11/2021	10:22:34	-457.4	O	64.4	G
10/11/2021	10:27:53	-404.2	O	66.5	G
10/11/2021	10:27:58	-357.2	O	66.5	G
10/11/2021	10:28:03	-356.4	O	66.6	G
10/11/2021	10:28:08	-354.8	O	66.6	G
10/11/2021	10:28:13	-354.0	O	66.6	G
1/24/2024	13:56:26	-0.5	G	67.0	G
1/24/2024	13:56:31	0.1	G	67.0	G
1/24/2024	13:56:36	1.0	G	67.0	G
1/24/2024	13:56:41	1.2	G	67.0	G
1/24/2024	13:56:46	1.1	G	67.0	G
1/24/2024	13:56:51	0.9	G	67.0	G
1/24/2024	13:56:56	0.5	G	67.0	G
1/24/2024	13:57:01	0.2	G	67.0	G
1/24/2024	13:57:06	0.1	G	67.0	G
1/24/2024	13:57:11	0.1	G	67.0	G
1/24/2024	13:57:16	0.2	G	67.0	G
1/24/2024	13:57:21	0.2	G	67.0	G
1/24/2024	13:57:26	0.2	G	67.0	G
1/24/2024	13:57:31	0.1	G	67.0	G
1/24/2024	13:57:36	0.1	G	67.0	G
1/24/2024	13:57:41	0.1	G	67.0	G
1/24/2024	13:57:46	0.1	G	67.0	G
1/24/2024	13:57:51	0.0	G	67.0	G
1/24/2024	13:57:56	-0.4	G	67.0	G
1/24/2024	13:58:01	-0.9	G	67.0	G
1/24/2024	13:58:06	-1.2	G	67.0	G
1/24/2024	13:58:11	-1.1	G	67.0	G
1/24/2024	13:58:16	-0.9	G	67.0	G
1/24/2024	13:58:21	-0.9	G	67.0	G
1/24/2024	13:58:26	-1.1	G	67.0	G
1/24/2024	13:58:31	-1.5	G	67.0	G
1/24/2024	13:58:36	-2.2	G	67.0	G
1/24/2024	13:58:41	-2.5	G	67.0	G
1/24/2024	13:58:46	-2.3	G	67.0	G
1/24/2024	13:58:51	-2.4	G	67.0	G
1/24/2024	13:58:56	-2.5	G	67.0	G
1/24/2024	13:59:01	-2.6	G	67.0	G
1/24/2024	13:59:06	-2.9	G	67.0	G
1/24/2024	13:59:11	-3.0	G	67.0	G
1/24/2024	13:59:16	-2.7	G	67.0	G
1/24/2024	13:59:21	-2.4	G	67.0	G
1/24/2024	13:59:26	-2.2	G	67.0	G
1/24/2024	13:59:31	-2.2	G	67.0	G
1/24/2024	13:59:36	-2.2	G	67.0	G
1/24/2024	13:59:41	-2.1	G	67.0	G
1/24/2024	13:59:46	-2.0	G	67.0	G
1/24/2024	13:59:51	-1.6	G	67.0	G
1/24/2024	13:59:56	-1.4	G	67.0	G
1/24/2024	14:00:01	-1.3	G	67.0	G
1/24/2024	14:00:06	-1.4	G	67.0	G
1/24/2024	14:00:11	-1.4	G	67.0	G
1/24/2024	14:00:16	-1.5	G	66.9	G
1/24/2024	14:00:21	-1.5	G	66.9	G
1/24/2024	14:00:26	-1.4	G	66.9	G
1/24/2024	14:00:31	-1.4	G	66.9	G
1/24/2024	14:00:36	-1.6	G	66.9	G
1/24/2024	14:00:41	-1.8	G	66.9	G
1/24/2024	14:00:46	-2.1	G	66.9	G
1/24/2024	14:00:51	-2.2	G	66.9	G
1/24/2024	14:00:56	-2.1	G	66.9	G
1/24/2024	14:01:01	-2.1	G	66.9	G
1/24/2024	14:01:06	-1.9	G	66.9	G
1/24/2024	14:01:11	-1.7	G	66.9	G
1/24/2024	14:01:16	-1.6	G	66.9	G
1/24/2024	14:01:21	-1.5	G	66.9	G
1/24/2024	14:01:26	-1.4	G	66.9	G
1/24/2024	14:01:31	-1.1	G	66.9	G
1/24/2024	14:01:36	-0.7	G	66.9	G
1/24/2024	14:01:41	-0.3	G	66.9	G
1/24/2024	14:01:46	0.1	G	66.9	G
1/24/2024	14:01:51	0.4	G	66.9	G
1/24/2024	14:01:56	0.5	G	66.9	G
1/24/2024	14:02:01	0.6	G	66.9	G
1/24/2024	14:02:06	0.4	G	66.9	G
1/24/2024	14:02:11	0.0	G	66.9	G
1/24/2024	14:02:16	-0.8	G	66.9	G
1/24/2024	14:02:21	-1.4	G	66.9	G
1/24/2024	14:02:26	-1.9	G	66.9	G
1/24/2024	14:02:31	-1.9	G	66.9	G
1/24/2024	14:02:36	-2.0	G	66.9	G
1/24/2024	14:02:41	-2.0	G	66.9	G
1/24/2024	14:02:46	-2.0	G	66.9	G
1/24/2024	14:02:51	-2.0	G	66.9	G
1/24/2024	14:02:56	-1.9	G	66.9	G
1/24/2024	14:03:01	-1.5	G	66.9	G
1/24/2024	14:03:06	-1.4	G	66.9	G
1/24/2024	14:03:11	-1.3	G	66.9	G
1/24/2024	14:03:16	-1.2	G	66.9	G
1/24/2024	14:03:21	-1.2	G	66.9	G
1/24/2024	14:03:26	-1.3	G	66.9	G
1/24/2024	14:03:31	-1.3	G	66.9	G
1/24/2024	14:03:36	-1.5	G	66.9	G
1/24/2024	14:03:41	-1.7	G	66.9	G
1/24/2024	14:03:46	-1.7	G	66.9	G
1/24/2024	14:03:51	-1.7	G	66.9	G
1/24/2024	14:03:56	-1.6	G	66.9	G
1/24/2024	14:04:01	-1.1	G	66.9	G
1/24/2024	14:04:06	-0.8	G	66.9	G
1/24/2024	14:04:11	-0.5	G	66.9	G
1/24/2024	14:04:16	-0.2	G	66.9	G
1/24/2024	14:04:21	-0.1	G	66.9	G
1/24/2024	14:04:26	-0.3	G	66.9	G
1/24/2024	14:04:31	-0.6	G	66.9	G
1/24/2024	14:04:36	-0.9	G	66.9	G
1/24/2024	14:04:41	-1.3	G	66.9	G
1/24/2024	14:04:46	-1.5	G	66.9	G
1/24/2024	14:04:51	-1.7	G	66.9	G
1/24/2024	14:04:56	-1.8	G	66.8	G
1/24/2024	14:05:01	-1.8	G	66.8	G
1/24/2024	14:05:06	-1.9	G	66.8	G
1/24/2024	14:05:11	-1.9	G	66.8	G
1/24/2024	14:05:16	-1.8	G	66.8	G
1/24/2024	14:05:21	-1.7	G	66.8	G
1/24/2024	14:05:26	-1.7	G	66.8	G
1/24/2024	14:05:31	-1.4	G	66.8	G
1/24/2024	14:05:36	-1.0	G	66.8	G
1/24/2024	14:05:41	-0.7	G	66.8	G
1/24/2024	14:05:46	-0.4	G	66.8	G
1/24/2024	14:05:51	0.0	G	66.8	G
1/24/2024	14:05:56	0.3	G	66.8	G
1/24/2024	14:06:01	0.5	G	66.8	G
1/24/2024	14:06:06	0.7	G	66.8	G
1/24/2024	14:06:11	0.8	G	66.8	G
1/24/2024	14:06:16	0.7	G	66.8	G
1/24/2024	14:06:21	0.9	G	66.8	G
1/24/2024	14:06:26	1.0	G	66.8	G
1/24/2024	14:06:31	1.1	G	66.8	G
1/24/2024	14:06:36	1.1	G	66.8	G
1/24/2024	14:06:41	1.1	G	66.8	G
1/24/2024	14:06:46	1.0	G	66.8	G
1/24/2024	14:06:51	0.9	G	66.8	G
1/24/2024	14:06:56	0.7	G	66.8	G
1/24/2024	14:07:01	0.5	G	66.8	G
1/24/2024	14:07:06	0.1	G	66.8	G
1/24/2024	14:07:11	-0.1	G	66.8	G
1/24/2024	14:07:16	-0.2	G	66.8	G
1/24/2024	14:07:21	-0.2	G	66.8	G
1/24/2024	14:07:26	-0.2	G	66.8	G
1/24/2024	14:07:31	-0.1	G	66.8	G
1/24/2024	14:07:36	0.0	G	66.8	G
1/24/2024	14:07:41	0.0	G	66.8	G
1/24/2024	14:07:46	0.1	G	66.8	G
1/24/2024	14:07:51	0.2	G	66.8	G
1/24/2024	14:07:56	0.4	G	66.8	G
1/24/2024	14:08:01	0.6	G	66.8	G
1/24/2024	14:08:06	0.6	G	66.8	G
1/24/2024	14:08:11	0.5	G	66.8	G
1/24/2024	14:08:16	0.2	G	66.7	G
1/24/2024	14:08:21	0.0	G	66.7	G
1/24/2024	14:08:26	0.2	G	66.7	G
1/24/2024	14:08:31	0.3	G	66.7	G
1/24/2024	14:08:36	0.6	G	66.7	G
1/24/2024	14:08:41	0.8	G	66.7	G
1/24/2024	14:08:46	0.8	G	66.7	G
1/24/2024	14:08:51	0.8	G	66.7	G
1/24/2024	14:08:56	0.5	G	66.7	G
1/24/2024	14:09:01	0.1	G	66.7	G
1/24/2024	14:09:06	-0.3	G	66.7	G
1/24/2024	14:09:11	-0.8	G	66.7	G
